Tarte au chocolat,3212
Cheesecake,1142
Flan aux œufs,1429
Fraise,2476
Crêpe à la confiture,679
Fraise,3111
Crêpe à la confiture,949
Flan aux œufs,452
Crêpe à la confiture,505
Sablé à la noix de coco,827
Smoothie,708
Raisin,602
Cheesecake,492
Crêpe à la confiture,542
Smoothie,575
Crêpe à la confiture,597
Fraise,438
Crêpe à la confiture,399
Tarte au chocolat,414
Sablé à la noix de coco,198
Crêpe à la confiture,585
Orange,1657
Crêpe à la confiture,2939
Fraise,551
Cheesecake,1420
Madeleine,1690
Flan aux œufs,429
Fraise,4489
Fraise,187
Madeleine,391
Crêpe à la confiture,1684
Sablé à la noix de coco,7276
Raisin,561
Smoothie,7799
Flan aux œufs,3695
Fraise,4282
Raisin,480
Crêpe à la confiture,2205
Crêpe à la confiture,474
Yaourt sucré,3605
Orange,595
Tarte au chocolat,2281
Madeleine,1195
Sablé à la noix de coco,770
Raisin,1558
Raisin,435
Chou à la crème,3066
Crêpe à la confiture,1282
Raisin,787
Orange,548
Yaourt sucré,1941
Crêpe à la confiture,2002
Liégeois,5853
Raisin,1451
Flan aux œufs,545
Orange,2565
Tarte au chocolat,724
Raisin,536
Fraise,488
Flan aux œufs,3033
Flan aux œufs,1144
Cheesecake,771
Fraise,603
Flan aux œufs,3522
Tarte au chocolat,690
Fraise,458
Tarte au chocolat,460
Chou à la crème,840
Flan aux œufs,474
Tarte au chocolat,493
Yaourt sucré,1541
Raisin,1396
Crêpe à la confiture,468
Flan aux œufs,2257
Madeleine,1821
Flan aux œufs,521
Flan aux œufs,378
Smoothie,671
Fraise,606
Yaourt sucré,5147
Crêpe à la confiture,1227
