Yaourt nature,895
Raisin,367
Sundae,705
Liégeois,372
Yaourt nature,816
Raisin,1234
Liégeois,459
Tarte au citron meringuée,385
Liégeois,446
Yaourt sucré,364
Liégeois,375
Sundae,315
Yaourt sucré,480
Sundae,354
Liégeois,550
Litchi,345
Yaourt sucré,338
Crêpe au chocolat,2067
Orange,1565
Crêpe au chocolat,399
Sundae,401
Sundae,390
Crêpe au chocolat,282
Raisin,1234
Sorbet,436
Yaourt nature,922
Tarte au citron meringuée,2282
Liégeois,360
Tarte au citron meringuée,324
Tarte au citron meringuée,236
Litchi,341
Yaourt nature,334
Yaourt sucré,2008
Yaourt sucré,1144
Crêpe au chocolat,1892
Tarte au citron meringuée,289
Sundae,344
Sundae,300
Liégeois,295
Litchi,236
Yaourt nature,279
Orange,1671
Madeleine,224
Quatre-Quart,640
Sundae,390
Sundae,686
Tarte au citron meringuée,275
Raisin,365
Liégeois,2187
Madeleine,1096
Raisin,3031
Crêpe au chocolat,274
Raisin,313
Crêpe au chocolat,389
Yaourt sucré,3502
Sorbet,4238
Crêpe au chocolat,2209
Raisin,562
Sorbet,892
Sorbet,1738
Liégeois,1859
Liégeois,306
Raisin,709
Tarte au citron meringuée,357
Liégeois,282
Liégeois,307
Raisin,292
Orange,1664
Liégeois,530
Yaourt nature,1428
Liégeois,840
Yaourt nature,502
Crêpe au chocolat,924
Sorbet,425
Sorbet,2484
Yaourt nature,856
Madeleine,670
Crêpe au chocolat,1341
Crêpe au chocolat,1667
Tarte au citron meringuée,367
Sundae,490
