Sundae,Yaourt nature, ,Sundae,Yaourt nature,Yaourt nature,Sundae
Raisin,Litchi, ,Litchi,Litchi,Raisin,Litchi
Sundae,Orange, ,Sundae,Sundae,Sundae,Sundae
Crêpe au chocolat,Liégeois, ,Liégeois,Liégeois,Crêpe au chocolat,Liégeois
Yaourt à la grecque,Yaourt nature, ,Yaourt à la grecque,Yaourt à la grecque,Yaourt nature,Yaourt nature
Raisin,Yaourt sucré, ,Yaourt sucré,Raisin,Raisin,Raisin
Fraisier,Liégeois, ,Liégeois,Liégeois,Fraisier,Fraisier
Fraisier,Tarte au citron meringuée, ,Tarte au citron meringuée,Tarte au citron meringuée,Tarte au citron meringuée,Tarte au citron meringuée
Sorbet,Liégeois, ,Sorbet,Liégeois,Liégeois,Sorbet
Orange,Yaourt sucré, ,Yaourt sucré,Yaourt sucré,Yaourt sucré,Yaourt sucré
Sorbet,Liégeois, ,Liégeois,Sorbet,Liégeois,Liégeois
Sundae,Litchi, ,Litchi,Litchi,Litchi,Litchi
Yaourt sucré,Yaourt nature, ,Yaourt nature,Yaourt nature,Yaourt nature,Yaourt nature
Sundae,Yaourt sucré, ,Sundae,Sundae,Sundae,Sundae
Sundae,Liégeois, ,Liégeois,Sundae,Sundae,Sundae
Quatre-Quart,Litchi, ,Litchi,Litchi,Litchi,Quatre-Quart
Yaourt à la grecque,Yaourt sucré, ,Yaourt à la grecque,Yaourt sucré,Yaourt à la grecque,Yaourt sucré
Sorbet,Crêpe au chocolat, ,Crêpe au chocolat,Crêpe au chocolat,Crêpe au chocolat,Sorbet
Fraisier,Orange, ,Fraisier,Fraisier,Fraisier,Fraisier
Crêpe au chocolat,Sundae, ,Sundae,Sundae,Crêpe au chocolat,Sundae
Sundae,Yaourt à la grecque, ,Yaourt à la grecque,Yaourt à la grecque,Sundae,Sundae
Sundae,Yaourt sucré, ,Sundae,Sundae,Sundae,Sundae
Crêpe au chocolat,Yaourt à la grecque, ,Crêpe au chocolat,Yaourt à la grecque,Crêpe au chocolat,Crêpe au chocolat
Madeleine,Raisin, ,Raisin,Raisin,Raisin,Madeleine
Quatre-Quart,Sorbet, ,Sorbet,Quatre-Quart,Sorbet,Sorbet
Orange,Yaourt nature, ,Orange,Orange,Yaourt nature,Orange
Tarte au citron meringuée,Liégeois, ,Liégeois,Liégeois,Liégeois,Liégeois
Yaourt à la grecque,Liégeois, ,Yaourt à la grecque,Yaourt à la grecque,Liégeois,Liégeois
Sorbet,Tarte au citron meringuée, ,Tarte au citron meringuée,Sorbet,Sorbet,Sorbet
Tarte au citron meringuée,Yaourt à la grecque, ,Yaourt à la grecque,Yaourt à la grecque,Yaourt à la grecque,Tarte au citron meringuée
Litchi,Orange, ,Litchi,Orange,Orange,Litchi
Fraisier,Yaourt nature, ,Fraisier,Fraisier,Yaourt nature,Fraisier
