Banane,835
Yaourt nature,955
Compote,1137
Orange,1000
Banane,1314
Sundae,997
Compote,1120
Smoothie,916
Orange,1233
Tarte au citron meringuée,679
Tarte au citron meringuée,757
Smoothie,918
Smoothie,779
Compote,467
Banane,797
Orange,540
Cake aux Fruits,380
Compote,303
Yaourt nature,476
Orange,276
Orange,316
Cake aux Fruits,310
Smoothie,406
Orange,956
Tarte au citron meringuée,891
Sundae,565
Yaourt nature,1145
Banane,517
Meringue,521
Cake aux Fruits,813
Compote,987
Quatre-Quart,649
Sundae,910
Compote,888
Cake aux Fruits,518
Orange,384
Meringue,1079
Compote,592
Compote,526
Smoothie,676
Compote,2781
Smoothie,367
Meringue,541
Tarte au citron meringuée,765
Orange,676
Sundae,488
Tarte au citron meringuée,392
Compote,453
Compote,734
Sundae,905
Yaourt nature,616
Tarte au citron meringuée,592
Cake aux Fruits,787
Meringue,535
Smoothie,374
Yaourt nature,562
Orange,371
Quatre-Quart,347
Crème Caramel,388
Sundae,316
Sundae,967
Compote,318
Compote,748
Crème Caramel,384
Cake aux Fruits,332
Crème dessert à la vanille,341
Tarte au citron meringuée,562
Tarte au citron meringuée,392
Cake aux Fruits,355
Orange,979
Sundae,441
Yaourt nature,329
Compote,367
Compote,520
Sundae,695
Quatre-Quart,407
Smoothie,896
Banane,358
Compote,553
Banane,498
Smoothie,783
