Mangue,1482
Crème dessert à la vanille,796
Crêpe à la confiture,912
Madeleine,1275
Mangue,782
Crème dessert à la vanille,1002
Riz au lait,1064
Madeleine,1470
Madeleine,789
Brownie,812
Glace,902
Sorbet,851
Brownie,561
Tarte au chocolat,768
Compote,702
Crème dessert à la vanille,871
Riz au lait,840
Sorbet,842
Glace,752
Compote,1097
Crêpe à la confiture,797
Yaourt nature,1686
Yaourt aux fruits,784
Madeleine,954
Mangue,842
Tarte au chocolat,759
Tarte au chocolat,2571
Mangue,822
Brownie,821
Sorbet,754
Yaourt aux fruits,747
Glace,861
Mangue,655
Crème dessert à la vanille,1238
Mangue,842
Crêpe à la confiture,3367
Mangue,740
Mangue,725
Mangue,573
Madeleine,739
Brownie,790
Crème dessert à la vanille,841
Yaourt aux fruits,794
Madeleine,577
Mangue,1148
Sorbet,752
Madeleine,783
Brownie,795
Yaourt nature,693
Sorbet,2740
Brownie,976
Mangue,1355
Tarte au chocolat,988
Compote,733
Tarte au chocolat,723
Tarte au chocolat,765
Glace,698
Brownie,714
Brownie,694
Mangue,666
Sorbet,657
Yaourt aux fruits,2104
Crêpe à la confiture,677
Mangue,3345
Tarte au chocolat,1494
Crème dessert à la vanille,889
Crêpe à la confiture,638
Brownie,786
Tarte au chocolat,618
Crème dessert à la vanille,865
Compote,491
Mangue,989
Brownie,856
Madeleine,812
Compote,738
Tarte au chocolat,657
Compote,890
Crème dessert à la vanille,745
Tarte au chocolat,698
Mangue,599
Yaourt aux fruits,493
