Charlotte aux Fruits,1781
Charlotte aux Fruits,3744
Sablé à la noix de coco,872
Clémentine,734
Tarte au citron meringuée,1003
Clémentine,660
Clémentine,589
Pomme,443
Crème Caramel,4228
Madeleine,623
Pomme,454
Banane,595
Madeleine,670
Charlotte aux Fruits,823
Banane,3415
Charlotte aux Fruits,791
Riz au lait,664
Pomme,1484
Pomme,541
Charlotte aux Fruits,2107
Yaourt aux fruits,515
Tarte au citron meringuée,310
Tarte au chocolat,1042
Clémentine,801
Madeleine,2268
Riz au lait,534
Clémentine,1005
Banane,871
Crème Caramel,984
Riz au lait,612
Riz au lait,578
Sablé à la noix de coco,1365
Pomme,855
Banane,1658
Tarte au citron meringuée,5379
Tarte au citron meringuée,1826
Sablé à la noix de coco,1325
Banane,2947
Yaourt aux fruits,1177
Riz au lait,1180
Mille-Feuille,481
Riz au lait,2622
Charlotte aux Fruits,489
Sablé à la noix de coco,1092
Banane,726
Clémentine,661
Tarte au citron meringuée,9260
Charlotte aux Fruits,1301
Tarte au citron meringuée,6389
Madeleine,664
Sablé à la noix de coco,934
Madeleine,616
Clémentine,778
Sablé à la noix de coco,6417
Charlotte aux Fruits,148
Charlotte aux Fruits,1173
Tarte au citron meringuée,300
Riz au lait,841
Clémentine,401
Charlotte aux Fruits,313
Tarte au chocolat,1939
Madeleine,1877
Mille-Feuille,1602
Banane,924
Pomme,1245
Tarte au citron meringuée,503
Clémentine,331
Banane,811
Madeleine,1772
Pomme,1689
Tarte au citron meringuée,414
Orange,476
Pomme,7485
Riz au lait,848
Yaourt aux fruits,5308
Madeleine,604
Charlotte aux Fruits,6448
Riz au lait,2184
Sablé à la noix de coco,1549
Clémentine,4318
Pomme,1088
