Crème Caramel,947
Yaourt à la grecque,260
Crème Caramel,803
Crème Caramel,802
Riz au lait,372
Crêpe au chocolat,633
Mille-Feuille,734
Yaourt à la grecque,511
Sablé à la noix de coco,549
Mille-Feuille,693
Banane,872
Mille-Feuille,534
Liégeois,599
Liégeois,617
Quatre-Quart,1122
Sablé à la noix de coco,445
Mille-Feuille,351
Riz au lait,896
Quatre-Quart,327
Yaourt à la grecque,790
Crème Caramel,787
Tarte aux Fruits,1619
Mille-Feuille,509
Crème Caramel,1057
Yaourt à la grecque,894
Crème Caramel,908
Liégeois,1360
Fraise,1530
Quatre-Quart,1614
Mille-Feuille,1159
Tarte aux Fruits,1617
Fraise,677
Riz au lait,1674
Yaourt à la grecque,730
Liégeois,804
Fraise,617
Liégeois,608
Yaourt à la grecque,907
Yaourt à la grecque,640
Crêpe au chocolat,714
Sablé à la noix de coco,706
Crêpe au chocolat,509
Crêpe au chocolat,618
Fraise,708
Yaourt à la grecque,629
Mille-Feuille,575
Meringue,637
Crème Caramel,609
Crème Caramel,682
Tarte aux Fruits,532
Liégeois,749
Crème Caramel,397
Crème Caramel,670
Mille-Feuille,757
Yaourt à la grecque,612
Meringue,1010
Crêpe au chocolat,695
Sablé à la noix de coco,437
Banane,573
Yaourt à la grecque,932
Cake aux Fruits,793
Crêpe au chocolat,607
Mille-Feuille,1425
Tarte aux Fruits,582
Crêpe au chocolat,847
Crêpe au chocolat,714
Crêpe au chocolat,610
Crème Caramel,622
Crêpe au chocolat,672
Yaourt à la grecque,654
Liégeois,720
Fraise,677
Sablé à la noix de coco,1028
Crêpe au chocolat,648
Banane,562
Quatre-Quart,548
Mille-Feuille,395
Yaourt à la grecque,587
Mille-Feuille,532
Quatre-Quart,598
Sablé à la noix de coco,556
