Litchi,955
Tarte aux Fruits,758
Opéra,687
Opéra,841
Charlotte aux Fruits,656
Tarte aux Fruits,700
Opéra,1122
Clémentine,572
Clémentine,560
Tarte au citron meringuée,592
Tarte aux Fruits,743
Litchi,1476
Clémentine,667
Raisin,592
Brownie,526
Opéra,794
Raisin,678
Yaourt sucré,543
Tarte aux Fruits,686
Brownie,935
Tarte aux Fruits,513
Flan aux œufs,1914
Opéra,736
Litchi,916
Clémentine,720
Tarte au citron meringuée,664
Raisin,648
Charlotte aux Fruits,972
Brownie,843
Raisin,546
Raisin,784
Tarte aux Fruits,524
Charlotte aux Fruits,651
Clémentine,679
Brownie,948
Tarte au citron meringuée,1600
Raisin,522
Yaourt sucré,538
Raisin,433
Litchi,707
Crème dessert à la vanille,466
Clémentine,859
Charlotte aux Fruits,1356
Tarte au citron meringuée,886
Clémentine,628
Yaourt sucré,708
Tarte au citron meringuée,567
Tarte aux Fruits,580
Charlotte aux Fruits,841
Flan aux œufs,932
Opéra,544
Tarte au citron meringuée,1110
Charlotte aux Fruits,964
Raisin,706
Chou à la crème,603
Charlotte aux Fruits,652
Clémentine,459
Yaourt sucré,2210
Brownie,661
Clémentine,548
Raisin,603
Opéra,429
Raisin,612
Flan aux œufs,1210
Charlotte aux Fruits,604
Clémentine,624
Tarte aux Fruits,618
Tarte au citron meringuée,476
Tarte aux Fruits,529
Crème dessert à la vanille,468
Opéra,483
Brownie,820
Raisin,621
Yaourt sucré,781
Raisin,622
Brownie,554
Tarte aux Fruits,842
Tarte aux Fruits,572
Litchi,832
Litchi,622
Tarte au citron meringuée,605
