Riz au lait,893
Riz au lait,1385
Fraisier,1052
Charlotte aux Fruits,1415
Riz au lait,1274
Sablé à la noix de coco,1006
Flan aux œufs,1080
Charlotte aux Fruits,854
Riz au lait,1315
Compote,972
Sundae,563
Riz au lait,1636
Flan aux œufs,628
Sablé à la noix de coco,899
Mille-Feuille,2504
Sablé à la noix de coco,755
Sundae,671
Flan aux œufs,600
Charlotte aux Fruits,617
Kiwi,467
Sablé à la noix de coco,540
Charlotte aux Fruits,1027
Sundae,642
Riz au lait,955
Riz au lait,694
Sundae,605
Riz au lait,843
Cheesecake,657
Sundae,512
Riz au lait,521
Flan aux œufs,1006
Flan aux œufs,880
Flan aux œufs,807
Compote,394
Fraisier,439
Mille-Feuille,611
Fraisier,382
Kiwi,563
Glace,929
Glace,534
Sundae,712
Sablé à la noix de coco,455
Riz au lait,1693
Compote,1253
Compote,718
Riz au lait,420
Charlotte aux Fruits,813
Cheesecake,443
Flan aux œufs,884
Glace,950
Sablé à la noix de coco,564
Mille-Feuille,1135
Mille-Feuille,593
Riz au lait,622
Yaourt nature,586
Sundae,465
Flan aux œufs,673
Salade de Fruits,554
Charlotte aux Fruits,156
Riz au lait,1326
Riz au lait,663
Cheesecake,921
Sundae,921
Mille-Feuille,692
Glace,490
Sablé à la noix de coco,3509
Flan aux œufs,703
Glace,973
Cheesecake,393
Charlotte aux Fruits,462
Charlotte aux Fruits,732
Glace,637
Flan aux œufs,496
Sablé à la noix de coco,349
Riz au lait,469
Kiwi,363
Flan aux œufs,737
Mille-Feuille,353
Fraisier,2784
Sablé à la noix de coco,849
Cheesecake,687
