Yaourt nature,Riz au lait, ,Riz au lait,Yaourt nature,Riz au lait,Riz au lait
Sablé à la noix de coco,Riz au lait, ,Riz au lait,Riz au lait,Riz au lait,Riz au lait
Cheesecake,Fraisier, ,Fraisier,Cheesecake,Cheesecake,Cheesecake
Cheesecake,Charlotte aux Fruits, ,Charlotte aux Fruits,Cheesecake,Charlotte aux Fruits,Cheesecake
Riz au lait,Compote, ,Compote,Compote,Riz au lait,Compote
Sablé à la noix de coco,Yaourt aux fruits, ,Sablé à la noix de coco,Sablé à la noix de coco,Yaourt aux fruits,Yaourt aux fruits
Compote,Flan aux œufs, ,Compote,Flan aux œufs,Compote,Flan aux œufs
Charlotte aux Fruits,Salade de Fruits, ,Salade de Fruits,Charlotte aux Fruits,Charlotte aux Fruits,Charlotte aux Fruits
Mille-Feuille,Riz au lait, ,Mille-Feuille,Riz au lait,Mille-Feuille,Mille-Feuille
Compote,Yaourt aux fruits, ,Compote,Compote,Compote,Yaourt aux fruits
Mille-Feuille,Sundae, ,Mille-Feuille,Sundae,Sundae,Mille-Feuille
Cheesecake,Riz au lait, ,Cheesecake,Riz au lait,Riz au lait,Riz au lait
Flan aux œufs,Salade de Fruits, ,Flan aux œufs,Flan aux œufs,Salade de Fruits,Salade de Fruits
Sablé à la noix de coco,Compote, ,Compote,Compote,Compote,Compote
Mille-Feuille,Cheesecake, ,Cheesecake,Cheesecake,Cheesecake,Cheesecake
Sablé à la noix de coco,Compote, ,Compote,Compote,Compote,Compote
Sundae,Yaourt aux fruits, ,Yaourt aux fruits,Yaourt aux fruits,Yaourt aux fruits,Yaourt aux fruits
Salade de Fruits,Flan aux œufs, ,Flan aux œufs,Flan aux œufs,Flan aux œufs,Flan aux œufs
Charlotte aux Fruits,Kiwi, ,Charlotte aux Fruits,Charlotte aux Fruits,Charlotte aux Fruits,Charlotte aux Fruits
Kiwi,Yaourt aux fruits, ,Yaourt aux fruits,Kiwi,Kiwi,Yaourt aux fruits
Sablé à la noix de coco,Cheesecake, ,Cheesecake,Cheesecake,Sablé à la noix de coco,Cheesecake
Charlotte aux Fruits,Sablé à la noix de coco, ,Sablé à la noix de coco,Sablé à la noix de coco,Sablé à la noix de coco,Sablé à la noix de coco
Sundae,Glace, ,Glace,Glace,Glace,Glace
Riz au lait,Flan aux œufs, ,Riz au lait,Riz au lait,Riz au lait,Riz au lait
Flan aux œufs,Riz au lait, ,Riz au lait,Riz au lait,Riz au lait,Riz au lait
Sundae,Mille-Feuille, ,Sundae,Mille-Feuille,Sundae,Sundae
Kiwi,Riz au lait, ,Riz au lait,Riz au lait,Kiwi,Kiwi
Cheesecake,Compote, ,Cheesecake,Compote,Compote,Cheesecake
Cheesecake,Sundae, ,Sundae,Sundae,Sundae,Sundae
Riz au lait,Salade de Fruits, ,Salade de Fruits,Riz au lait,Riz au lait,Salade de Fruits
Sundae,Flan aux œufs, ,Sundae,Sundae,Sundae,Sundae
Yaourt aux fruits,Flan aux œufs, ,Flan aux œufs,Flan aux œufs,Flan aux œufs,Flan aux œufs
Sablé à la noix de coco,Flan aux œufs, ,Flan aux œufs,Flan aux œufs,Sablé à la noix de coco,Sablé à la noix de coco
Compote,Yaourt nature, ,Compote,Yaourt nature,Yaourt nature,Yaourt nature
Fraisier,Compote, ,Fraisier,Fraisier,Fraisier,Fraisier
