Cheesecake,770
Salade de Fruits,1507
Crêpe au chocolat,408
Tiramisu,674
Opéra,432
Ile flottante,551
Yaourt sucré,1386
Salade de Fruits,365
Sorbet,6070
Ile flottante,5683
Sorbet,3296
Opéra,1103
Opéra,540
Sorbet,2074
Opéra,11488
Salade de Fruits,645
Opéra,578
Cheesecake,1296
Ile flottante,1382
Cheesecake,156797
Cheesecake,5772
Sorbet,2495
Opéra,9365
Cheesecake,2088
Opéra,17288
Mangue,40078
Ile flottante,48226
Ile flottante,31124
Sundae,38360
Ile flottante,20007
Sundae,2649
Ile flottante,735
Opéra,25320
Sundae,1470
Opéra,4948
Mangue,2595794
Crêpe au chocolat,593
Ile flottante,605
Salade de Fruits,710
Crêpe au chocolat,714
Milk-Shake,2469
Litchi,3541
Mangue,4336
Cheesecake,1191
Opéra,1194
Litchi,15122
Ile flottante,6563
Sorbet,7265
Sundae,258
Crêpe au chocolat,7455
Tiramisu,2569
Tiramisu,2272
Opéra,359
Yaourt aux fruits,1614
Cheesecake,5516
Milk-Shake,1487
Ile flottante,676
Sorbet,1541
Crêpe au chocolat,326
Mangue,1302
Sorbet,394
Tiramisu,280
Crêpe au chocolat,591
Opéra,361
Mangue,367
Crêpe au chocolat,334
Cheesecake,1304
Cheesecake,2047
Sorbet,1807
Milk-Shake,1721
Sundae,2675
Sundae,1444
Opéra,4878
Litchi,1656
Mangue,5643
Crêpe au chocolat,3655
Mangue,1535
Ile flottante,582
Mangue,685
Litchi,729
Mangue,632
