Sundae,Yaourt aux fruits, ,Sundae,Sundae,Sundae,Sundae
Tarte aux Fruits,Yaourt aux fruits, ,Yaourt aux fruits,Yaourt aux fruits,Tarte aux Fruits,Yaourt aux fruits
Sundae,Compote, ,Sundae,Sundae,Sundae,Compote
Fraisier,Sundae, ,Sundae,Fraisier,Sundae,Sundae
Charlotte aux Fruits,Tarte aux Fruits, ,Tarte aux Fruits,Tarte aux Fruits,Tarte aux Fruits,Tarte aux Fruits
Salade de Fruits,Yaourt à la grecque, ,Yaourt à la grecque,Yaourt à la grecque,Yaourt à la grecque,Yaourt à la grecque
Salade de Fruits,Crème dessert à la vanille, ,Crème dessert à la vanille,Crème dessert à la vanille,Crème dessert à la vanille,Salade de Fruits
Sundae,Yaourt à la grecque, ,Sundae,Sundae,Sundae,Sundae
Charlotte aux Fruits,Crème dessert à la vanille, ,Charlotte aux Fruits,Charlotte aux Fruits,Charlotte aux Fruits,Charlotte aux Fruits
Sorbet,Tarte poires amandes, ,Tarte poires amandes,Tarte poires amandes,Tarte poires amandes,Tarte poires amandes
Fraisier,Crème dessert à la vanille, ,Crème dessert à la vanille,Crème dessert à la vanille,Crème dessert à la vanille,Crème dessert à la vanille
Salade de Fruits,Yaourt nature, ,Salade de Fruits,Yaourt nature,Salade de Fruits,Salade de Fruits
Charlotte aux Fruits,Salade de Fruits, ,Salade de Fruits,Salade de Fruits,Charlotte aux Fruits,Charlotte aux Fruits
Tarte poires amandes,Crème dessert à la vanille, ,Crème dessert à la vanille,Crème dessert à la vanille,Crème dessert à la vanille,Crème dessert à la vanille
Tarte aux Fruits,Charlotte aux Fruits, ,Tarte aux Fruits,Charlotte aux Fruits,Tarte aux Fruits,Tarte aux Fruits
Sorbet,Fraisier, ,Sorbet,Sorbet,Fraisier,Fraisier
Tarte poires amandes,Compote, ,Compote,Tarte poires amandes,Compote,Tarte poires amandes
Charlotte aux Fruits,Milk-Shake, ,Charlotte aux Fruits,Charlotte aux Fruits,Charlotte aux Fruits,Milk-Shake
Glace,Sorbet, ,Sorbet,Sorbet,Sorbet,Glace
Sundae,Charlotte aux Fruits, ,Sundae,Sundae,Sundae,Sundae
Salade de Fruits,Milk-Shake, ,Salade de Fruits,Milk-Shake,Salade de Fruits,Milk-Shake
Tarte poires amandes,Fraisier, ,Tarte poires amandes,Tarte poires amandes,Tarte poires amandes,Tarte poires amandes
Charlotte aux Fruits,Glace, ,Glace,Glace,Glace,Charlotte aux Fruits
Tarte aux Fruits,Salade de Fruits, ,Tarte aux Fruits,Salade de Fruits,Tarte aux Fruits,Salade de Fruits
Yaourt aux fruits,Milk-Shake, ,Milk-Shake,Milk-Shake,Milk-Shake,Milk-Shake
Yaourt nature,Yaourt à la grecque, ,Yaourt à la grecque,Yaourt à la grecque,Yaourt nature,Yaourt à la grecque
Milk-Shake,Yaourt nature, ,Milk-Shake,Yaourt nature,Milk-Shake,Yaourt nature
Charlotte aux Fruits,Yaourt aux fruits, ,Yaourt aux fruits,Yaourt aux fruits,Yaourt aux fruits,Yaourt aux fruits
Glace,Yaourt aux fruits, ,Glace,Yaourt aux fruits,Yaourt aux fruits,Yaourt aux fruits
Fraisier,Yaourt aux fruits, ,Fraisier,Yaourt aux fruits,Yaourt aux fruits,Fraisier
Tarte aux Fruits,Fraisier, ,Tarte aux Fruits,Fraisier,Fraisier,Fraisier
Fraisier,Yaourt à la grecque, ,Yaourt à la grecque,Yaourt à la grecque,Yaourt à la grecque,Yaourt à la grecque
