Crème Caramel,1251
Madeleine,236
Cookie,273
Kiwi,2275
Flan aux œufs,64
Crème dessert à la vanille,3890
Madeleine,3178
Compote,3169
Crème dessert à la vanille,1815
Flan aux œufs,408
Cookie,1662
Ile flottante,2217
Compote,1599
Crème dessert à la vanille,675
Cake aux Fruits,66
Crème dessert à la vanille,11
Madeleine,342
Crêpe à la confiture,732
Cookie,637
Ile flottante,55
Tarte aux Fruits,176
Meringue,629
Tiramisu,3305
Crêpe à la confiture,2876
Milk-Shake,3
Meringue,269
Madeleine,299
Flan aux œufs,243
Ile flottante,114
Crème Caramel,20
Meringue,1314
Flan aux œufs,1437
Crème dessert à la vanille,175
Compote,3167
Crème Caramel,500
Madeleine,1747
Tiramisu,2
Cookie,1429
Madeleine,143
Cookie,1039
Kiwi,114
Milk-Shake,436
Crème Caramel,3257
Flan aux œufs,134
Kiwi,1532
Ile flottante,2131
Compote,3473
Crème Caramel,2839
Meringue,7737
Compote,8139
Milk-Shake,3346
Crème dessert à la vanille,1407
Crème dessert à la vanille,1243
Ile flottante,317
Compote,1150
Ile flottante,1889
Cookie,9375
Crème dessert à la vanille,2672
Tiramisu,3003
Milk-Shake,2904
Flan aux œufs,1837
Cake aux Fruits,769
Milk-Shake,1858
Ile flottante,1999
Cake aux Fruits,2223
Crème Caramel,93
Tiramisu,7474
Kiwi,1882
Tarte aux Fruits,432
Crème Caramel,1736
Tiramisu,1380
Kiwi,291
Milk-Shake,136
Meringue,180
Cake aux Fruits,29
Milk-Shake,512
Crème dessert à la vanille,2340
Ile flottante,214
Crème dessert à la vanille,343
Kiwi,6262
Crème dessert à la vanille,5272
