Yaourt nature,2439
Yaourt nature,4081
Charlotte aux Fruits,1086
Sablé à la noix de coco,1006
Charlotte aux Fruits,1298
Charlotte aux Fruits,534
Orange,739
Sundae,2841
Clémentine,718
Sablé à la noix de coco,704
Madeleine,3350
Cookie,1774
Glace,2191
Sundae,757
Madeleine,991
Clémentine,918
Madeleine,3403
Orange,750
Sablé à la noix de coco,13768
Ile flottante,5809
Glace,2235
Madeleine,13923
Orange,1097
Charlotte aux Fruits,4164
Glace,1451
Ile flottante,2296
Orange,1031
Cookie,2187
Ile flottante,411
Charlotte aux Fruits,1862
Clémentine,368
Sundae,570
Charlotte aux Fruits,711
Clémentine,2649
Clémentine,1365
Sablé à la noix de coco,1809
Orange,413
Raisin,1352
Yaourt aux fruits,1287
Charlotte aux Fruits,1540
Clémentine,2319
Charlotte aux Fruits,4601
Orange,1340
Clémentine,1579
Yaourt nature,466
Clémentine,365
Cookie,1898
Orange,1293
Orange,3296
Sundae,667
Madeleine,351
Clémentine,515
Charlotte aux Fruits,1025
Raisin,3109
Cookie,1009
Charlotte aux Fruits,640
Glace,967
Yaourt nature,1171
Madeleine,2299
Glace,809
Sundae,745
Glace,665
Sundae,2837
Clémentine,1066
Orange,290
Cookie,1602
Madeleine,316
Cookie,655
Yaourt nature,832
Glace,894
Clémentine,1367
Charlotte aux Fruits,707
Orange,289
Glace,280
Sundae,730
Clémentine,881
Sundae,683
Sablé à la noix de coco,423
Yaourt nature,605
Ile flottante,3463
Cookie,1894
