Opéra,Yaourt nature, ,Opéra,Opéra,Opéra,Opéra
Madeleine,Yaourt nature, ,Madeleine,Yaourt nature,Madeleine,Yaourt nature
Charlotte aux Fruits,Orange, ,Orange,Charlotte aux Fruits,Charlotte aux Fruits,Charlotte aux Fruits
Opéra,Sablé à la noix de coco, ,Opéra,Opéra,Opéra,Sablé à la noix de coco
Charlotte aux Fruits,Cookie, ,Charlotte aux Fruits,Cookie,Charlotte aux Fruits,Cookie
Charlotte aux Fruits,Yaourt nature, ,Charlotte aux Fruits,Charlotte aux Fruits,Charlotte aux Fruits,Charlotte aux Fruits
Opéra,Orange, ,Orange,Orange,Orange,Orange
Charlotte aux Fruits,Sundae, ,Charlotte aux Fruits,Charlotte aux Fruits,Charlotte aux Fruits,Sundae
Clémentine,Yaourt nature, ,Yaourt nature,Yaourt nature,Yaourt nature,Yaourt nature
Sablé à la noix de coco,Raisin, ,Raisin,Raisin,Sablé à la noix de coco,Raisin
Madeleine,Yaourt nature, ,Yaourt nature,Yaourt nature,Yaourt nature,Yaourt nature
Cookie,Yaourt nature, ,Yaourt nature,Yaourt nature,Yaourt nature,Yaourt nature
Sablé à la noix de coco,Glace, ,Glace,Glace,Glace,Sablé à la noix de coco
Sundae,Yaourt aux fruits, ,Sundae,Sundae,Sundae,Sundae
Sundae,Madeleine, ,Sundae,Sundae,Sundae,Sundae
Raisin,Clémentine, ,Raisin,Clémentine,Clémentine,Raisin
Opéra,Madeleine, ,Madeleine,Opéra,Madeleine,Madeleine
Orange,Ile flottante, ,Ile flottante,Ile flottante,Orange,Ile flottante
Glace,Sablé à la noix de coco, ,Sablé à la noix de coco,Glace,Glace,Glace
Ile flottante,Raisin, ,Ile flottante,Ile flottante,Raisin,Ile flottante
Sundae,Glace, ,Glace,Glace,Glace,Glace
Madeleine,Ile flottante, ,Ile flottante,Ile flottante,Ile flottante,Ile flottante
Orange,Raisin, ,Orange,Orange,Raisin,Orange
Sundae,Charlotte aux Fruits, ,Sundae,Charlotte aux Fruits,Sundae,Charlotte aux Fruits
Glace,Orange, ,Glace,Orange,Orange,Glace
Raisin,Ile flottante, ,Raisin,Ile flottante,Raisin,Ile flottante
Sablé à la noix de coco,Orange, ,Sablé à la noix de coco,Sablé à la noix de coco,Sablé à la noix de coco,Sablé à la noix de coco
Cookie,Crème Caramel, ,Crème Caramel,Crème Caramel,Crème Caramel,Crème Caramel
Opéra,Ile flottante, ,Ile flottante,Ile flottante,Ile flottante,Opéra
Charlotte aux Fruits,Sablé à la noix de coco, ,Sablé à la noix de coco,Sablé à la noix de coco,Sablé à la noix de coco,Charlotte aux Fruits
Madeleine,Clémentine, ,Madeleine,Madeleine,Madeleine,Clémentine
Sundae,Clémentine, ,Clémentine,Sundae,Clémentine,Sundae
Charlotte aux Fruits,Orange, ,Charlotte aux Fruits,Orange,Orange,Charlotte aux Fruits
Clémentine,Orange, ,Orange,Clémentine,Orange,Clémentine
Orange,Clémentine, ,Clémentine,Clémentine,Clémentine,Orange
Sablé à la noix de coco,Crème Caramel, ,Crème Caramel,Crème Caramel,Sablé à la noix de coco,Crème Caramel
Raisin,Orange, ,Orange,Orange,Orange,Raisin
Opéra,Raisin, ,Opéra,Raisin,Raisin,Opéra
Yaourt aux fruits,Crème Caramel, ,Yaourt aux fruits,Yaourt aux fruits,Yaourt aux fruits,Yaourt aux fruits
Glace,Charlotte aux Fruits, ,Charlotte aux Fruits,Glace,Charlotte aux Fruits,Glace
Madeleine,Clémentine, ,Madeleine,Madeleine,Clémentine,Madeleine
Sablé à la noix de coco,Charlotte aux Fruits, ,Charlotte aux Fruits,Charlotte aux Fruits,Sablé à la noix de coco,Sablé à la noix de coco
Orange,Yaourt aux fruits, ,Yaourt aux fruits,Yaourt aux fruits,Yaourt aux fruits,Yaourt aux fruits
Madeleine,Clémentine, ,Clémentine,Madeleine,Clémentine,Madeleine
Yaourt nature,Ile flottante, ,Yaourt nature,Yaourt nature,Yaourt nature,Yaourt nature
