Pomme,Banane, ,Banane,Pomme,Banane,Banane
Crêpe au chocolat,Pomme, ,Pomme,Pomme,Pomme,Pomme
Crêpe au chocolat,Flan aux œufs, ,Crêpe au chocolat,Crêpe au chocolat,Crêpe au chocolat,Crêpe au chocolat
Crêpe au chocolat,Pomme, ,Pomme,Pomme,Pomme,Pomme
Mangue,Ile flottante, ,Ile flottante,Mangue,Ile flottante,Ile flottante
Ile flottante,Litchi, ,Litchi,Litchi,Litchi,Litchi
Opéra,Crêpe à la confiture, ,Opéra,Crêpe à la confiture,Crêpe à la confiture,Opéra
Mille-Feuille,Meringue, ,Mille-Feuille,Mille-Feuille,Mille-Feuille,Meringue
Opéra,Meringue, ,Meringue,Opéra,Meringue,Meringue
Meringue,Banane, ,Meringue,Meringue,Meringue,Banane
Crêpe au chocolat,Sorbet, ,Sorbet,Sorbet,Sorbet,Sorbet
Meringue,Crème Caramel, ,Crème Caramel,Crème Caramel,Crème Caramel,Meringue
Banane,Flan aux œufs, ,Banane,Banane,Flan aux œufs,Flan aux œufs
Banane,Mangue, ,Mangue,Mangue,Mangue,Mangue
Banane,Crème Caramel, ,Banane,Banane,Banane,Banane
Crêpe au chocolat,Mangue, ,Mangue,Mangue,Crêpe au chocolat,Mangue
Crêpe au chocolat,Crème Caramel, ,Crêpe au chocolat,Crème Caramel,Crêpe au chocolat,Crêpe au chocolat
Crêpe à la confiture,Litchi, ,Litchi,Crêpe à la confiture,Crêpe à la confiture,Litchi
Flan aux œufs,Crème Caramel, ,Crème Caramel,Crème Caramel,Crème Caramel,Crème Caramel
Mille-Feuille,Fraisier, ,Fraisier,Mille-Feuille,Fraisier,Fraisier
Mille-Feuille,Litchi, ,Litchi,Mille-Feuille,Litchi,Mille-Feuille
Crêpe à la confiture,Ile flottante, ,Crêpe à la confiture,Ile flottante,Crêpe à la confiture,Ile flottante
Crêpe à la confiture,Flan aux œufs, ,Crêpe à la confiture,Crêpe à la confiture,Crêpe à la confiture,Crêpe à la confiture
Crêpe au chocolat,Meringue, ,Meringue,Meringue,Meringue,Crêpe au chocolat
Fraisier,Opéra, ,Fraisier,Fraisier,Opéra,Opéra
Fraisier,Banane, ,Fraisier,Fraisier,Fraisier,Fraisier
Crème Caramel,Pomme, ,Crème Caramel,Crème Caramel,Crème Caramel,Crème Caramel
Fraisier,Meringue, ,Fraisier,Fraisier,Fraisier,Fraisier
Crêpe à la confiture,Banane, ,Banane,Crêpe à la confiture,Crêpe à la confiture,Crêpe à la confiture
Fraisier,Crêpe au chocolat, ,Crêpe au chocolat,Fraisier,Crêpe au chocolat,Fraisier
Fraisier,Litchi, ,Fraisier,Litchi,Fraisier,Litchi
Fraisier,Mangue, ,Fraisier,Fraisier,Fraisier,Fraisier
Crêpe à la confiture,Fraisier, ,Fraisier,Fraisier,Fraisier,Fraisier
Crêpe à la confiture,Mille-Feuille, ,Mille-Feuille,Mille-Feuille,Mille-Feuille,Mille-Feuille
