Tarte au chocolat,Crème dessert à la vanille, ,Crème dessert à la vanille,Crème dessert à la vanille,Crème dessert à la vanille,Crème dessert à la vanille
Fraisier,Quatre-Quart, ,Quatre-Quart,Quatre-Quart,Quatre-Quart,Quatre-Quart
Tarte au chocolat,Milk-Shake, ,Milk-Shake,Milk-Shake,Milk-Shake,Milk-Shake
Fraisier,Tarte au chocolat, ,Tarte au chocolat,Fraisier,Fraisier,Fraisier
Milk-Shake,Crème dessert à la vanille, ,Crème dessert à la vanille,Crème dessert à la vanille,Crème dessert à la vanille,Milk-Shake
Fraisier,Milk-Shake, ,Fraisier,Fraisier,Fraisier,Fraisier
Fraisier,Orange, ,Orange,Fraisier,Orange,Fraisier
Chou à la crème,Fraisier, ,Fraisier,Fraisier,Chou à la crème,Chou à la crème
Tarte au chocolat,Crème dessert à la vanille, ,Tarte au chocolat,Crème dessert à la vanille,Crème dessert à la vanille,Tarte au chocolat
Sablé à la noix de coco,Liégeois, ,Liégeois,Liégeois,Liégeois,Liégeois
Crème Caramel,Liégeois, ,Liégeois,Liégeois,Crème Caramel,Liégeois
Sundae,Crème dessert à la vanille, ,Sundae,Sundae,Crème dessert à la vanille,Crème dessert à la vanille
Sundae,Crème dessert à la vanille, ,Sundae,Crème dessert à la vanille,Crème dessert à la vanille,Crème dessert à la vanille
Tarte poires amandes,Smoothie, ,Smoothie,Tarte poires amandes,Tarte poires amandes,Smoothie
Tarte au chocolat,Crème dessert à la vanille, ,Crème dessert à la vanille,Crème dessert à la vanille,Crème dessert à la vanille,Crème dessert à la vanille
Fraisier,Yaourt aux fruits, ,Fraisier,Fraisier,Fraisier,Fraisier
Sablé à la noix de coco,Smoothie, ,Sablé à la noix de coco,Smoothie,Smoothie,Sablé à la noix de coco
Sundae,Tarte poires amandes, ,Sundae,Tarte poires amandes,Sundae,Tarte poires amandes
Sablé à la noix de coco,Fraisier, ,Sablé à la noix de coco,Fraisier,Fraisier,Sablé à la noix de coco
Tarte poires amandes,Sundae, ,Sundae,Tarte poires amandes,Sundae,Tarte poires amandes
Smoothie,Yaourt aux fruits, ,Smoothie,Smoothie,Yaourt aux fruits,Yaourt aux fruits
Milk-Shake,Smoothie, ,Milk-Shake,Smoothie,Milk-Shake,Milk-Shake
Sundae,Sablé à la noix de coco, ,Sablé à la noix de coco,Sablé à la noix de coco,Sablé à la noix de coco,Sablé à la noix de coco
Milk-Shake,Yaourt aux fruits, ,Yaourt aux fruits,Yaourt aux fruits,Yaourt aux fruits,Yaourt aux fruits
Tarte au chocolat,Chou à la crème, ,Chou à la crème,Chou à la crème,Chou à la crème,Chou à la crème
Sundae,Smoothie, ,Sundae,Sundae,Sundae,Sundae
Sablé à la noix de coco,Milk-Shake, ,Sablé à la noix de coco,Milk-Shake,Sablé à la noix de coco,Sablé à la noix de coco
Tarte au chocolat,Sablé à la noix de coco, ,Tarte au chocolat,Sablé à la noix de coco,Sablé à la noix de coco,Tarte au chocolat
Sundae,Crème dessert à la vanille, ,Crème dessert à la vanille,Sundae,Sundae,Sundae
Crème Caramel,Smoothie, ,Crème Caramel,Crème Caramel,Crème Caramel,Smoothie
Fraisier,Tarte poires amandes, ,Tarte poires amandes,Tarte poires amandes,Tarte poires amandes,Fraisier
Yaourt aux fruits,Smoothie, ,Smoothie,Smoothie,Yaourt aux fruits,Yaourt aux fruits
Sablé à la noix de coco,Milk-Shake, ,Milk-Shake,Milk-Shake,Milk-Shake,Milk-Shake
Tarte poires amandes,Orange, ,Tarte poires amandes,Tarte poires amandes,Tarte poires amandes,Orange
Sundae,Tarte au chocolat, ,Tarte au chocolat,Tarte au chocolat,Tarte au chocolat,Sundae
