Sorbet,Mangue, ,Sorbet,Sorbet,Sorbet,Sorbet
Sorbet,Opéra, ,Sorbet,Sorbet,Opéra,Sorbet
Yaourt à la grecque,Smoothie, ,Yaourt à la grecque,Yaourt à la grecque,Yaourt à la grecque,Yaourt à la grecque
Crêpe à la confiture,Quatre-Quart, ,Quatre-Quart,Quatre-Quart,Quatre-Quart,Quatre-Quart
Opéra,Charlotte aux Fruits, ,Charlotte aux Fruits,Charlotte aux Fruits,Charlotte aux Fruits,Charlotte aux Fruits
Crêpe à la confiture,Flan aux œufs, ,Flan aux œufs,Crêpe à la confiture,Crêpe à la confiture,Crêpe à la confiture
Crêpe à la confiture,Milk-Shake, ,Milk-Shake,Milk-Shake,Crêpe à la confiture,Milk-Shake
Tarte au citron meringuée,Milk-Shake, ,Tarte au citron meringuée,Tarte au citron meringuée,Tarte au citron meringuée,Tarte au citron meringuée
Quatre-Quart,Milk-Shake, ,Quatre-Quart,Quatre-Quart,Quatre-Quart,Quatre-Quart
Glace,Tarte au citron meringuée, ,Tarte au citron meringuée,Tarte au citron meringuée,Glace,Glace
Charlotte aux Fruits,Yaourt à la grecque, ,Charlotte aux Fruits,Charlotte aux Fruits,Charlotte aux Fruits,Charlotte aux Fruits
Tarte au citron meringuée,Quatre-Quart, ,Quatre-Quart,Quatre-Quart,Quatre-Quart,Tarte au citron meringuée
Charlotte aux Fruits,Litchi, ,Litchi,Litchi,Litchi,Charlotte aux Fruits
Opéra,Tarte au citron meringuée, ,Opéra,Tarte au citron meringuée,Opéra,Opéra
Charlotte aux Fruits,Tarte au citron meringuée, ,Charlotte aux Fruits,Charlotte aux Fruits,Charlotte aux Fruits,Charlotte aux Fruits
Flan aux œufs,Yaourt à la grecque, ,Flan aux œufs,Yaourt à la grecque,Flan aux œufs,Yaourt à la grecque
Glace,Yaourt à la grecque, ,Yaourt à la grecque,Glace,Glace,Yaourt à la grecque
Milk-Shake,Flan aux œufs, ,Flan aux œufs,Flan aux œufs,Flan aux œufs,Milk-Shake
Glace,Opéra, ,Opéra,Opéra,Opéra,Opéra
Smoothie,Litchi, ,Litchi,Litchi,Litchi,Litchi
Milk-Shake,Yaourt à la grecque, ,Milk-Shake,Yaourt à la grecque,Yaourt à la grecque,Yaourt à la grecque
Opéra,Quatre-Quart, ,Quatre-Quart,Opéra,Quatre-Quart,Opéra
Glace,Crêpe à la confiture, ,Glace,Crêpe à la confiture,Glace,Crêpe à la confiture
Litchi,Smoothie, ,Smoothie,Litchi,Smoothie,Litchi
Quatre-Quart,Mangue, ,Quatre-Quart,Quatre-Quart,Mangue,Quatre-Quart
Glace,Mangue, ,Mangue,Mangue,Mangue,Mangue
Yaourt à la grecque,Milk-Shake, ,Milk-Shake,Yaourt à la grecque,Yaourt à la grecque,Milk-Shake
Opéra,Flan aux œufs, ,Opéra,Opéra,Opéra,Opéra
Glace,Litchi, ,Litchi,Litchi,Litchi,Litchi
Glace,Yaourt à la grecque, ,Yaourt à la grecque,Yaourt à la grecque,Glace,Yaourt à la grecque
Glace,Charlotte aux Fruits, ,Glace,Charlotte aux Fruits,Glace,Glace
Mangue,Smoothie, ,Smoothie,Mangue,Mangue,Smoothie
Quatre-Quart,Glace, ,Glace,Glace,Glace,Glace
Flan aux œufs,Smoothie, ,Flan aux œufs,Flan aux œufs,Flan aux œufs,Flan aux œufs
Quatre-Quart,Yaourt à la grecque, ,Quatre-Quart,Yaourt à la grecque,Quatre-Quart,Quatre-Quart
Flan aux œufs,Mangue, ,Mangue,Flan aux œufs,Flan aux œufs,Flan aux œufs
Quatre-Quart,Flan aux œufs, ,Flan aux œufs,Quatre-Quart,Quatre-Quart,Quatre-Quart
Opéra,Yaourt à la grecque, ,Yaourt à la grecque,Yaourt à la grecque,Yaourt à la grecque,Opéra
Sorbet,Litchi, ,Litchi,Litchi,Litchi,Sorbet
Tarte au citron meringuée,Litchi, ,Litchi,Litchi,Litchi,Litchi
Glace,Flan aux œufs, ,Flan aux œufs,Glace,Glace,Flan aux œufs
Glace,Litchi, ,Litchi,Glace,Glace,Glace
Yaourt à la grecque,Mangue, ,Mangue,Yaourt à la grecque,Yaourt à la grecque,Mangue
Charlotte aux Fruits,Glace, ,Glace,Glace,Glace,Glace
Charlotte aux Fruits,Flan aux œufs, ,Flan aux œufs,Charlotte aux Fruits,Flan aux œufs,Charlotte aux Fruits
Litchi,Flan aux œufs, ,Litchi,Litchi,Litchi,Litchi
Charlotte aux Fruits,Kiwi, ,Charlotte aux Fruits,Charlotte aux Fruits,Charlotte aux Fruits,Charlotte aux Fruits
Opéra,Yaourt à la grecque, ,Yaourt à la grecque,Yaourt à la grecque,Yaourt à la grecque,Yaourt à la grecque
Sorbet,Smoothie, ,Sorbet,Sorbet,Sorbet,Sorbet
Crêpe à la confiture,Charlotte aux Fruits, ,Crêpe à la confiture,Charlotte aux Fruits,Crêpe à la confiture,Crêpe à la confiture
Sorbet,Yaourt à la grecque, ,Yaourt à la grecque,Yaourt à la grecque,Yaourt à la grecque,Yaourt à la grecque
Quatre-Quart,Yaourt à la grecque, ,Yaourt à la grecque,Quatre-Quart,Quatre-Quart,Yaourt à la grecque
Kiwi,Milk-Shake, ,Kiwi,Milk-Shake,Kiwi,Kiwi
Tarte au citron meringuée,Milk-Shake, ,Milk-Shake,Milk-Shake,Tarte au citron meringuée,Milk-Shake
Mangue,Yaourt à la grecque, ,Yaourt à la grecque,Mangue,Mangue,Yaourt à la grecque
Mangue,Milk-Shake, ,Mangue,Mangue,Milk-Shake,Milk-Shake
Flan aux œufs,Kiwi, ,Kiwi,Kiwi,Kiwi,Kiwi
Sorbet,Mangue, ,Mangue,Mangue,Mangue,Mangue
Crêpe à la confiture,Litchi, ,Litchi,Litchi,Litchi,Litchi
Litchi,Yaourt à la grecque, ,Yaourt à la grecque,Yaourt à la grecque,Yaourt à la grecque,Litchi
