Opéra,474
Charlotte aux Fruits,349
Yaourt aux fruits,650
Fraise,576
Salade de Fruits,772
Charlotte aux Fruits,1286
Tarte au citron meringuée,2283
Litchi,1152
Charlotte aux Fruits,519
Charlotte aux Fruits,865
Crème dessert à la vanille,339
Cookie,1710
Salade de Fruits,660
Tarte poires amandes,1183
Quatre-Quart,1228
Opéra,600
Quatre-Quart,1464
Salade de Fruits,2110
Charlotte aux Fruits,685
Yaourt à la grecque,630
Tarte poires amandes,3346
Cookie,2970
Tarte poires amandes,506
Charlotte aux Fruits,1380
Tarte poires amandes,1325
Tarte poires amandes,1386
Tarte poires amandes,330
Fraise,488
Quatre-Quart,1669
Charlotte aux Fruits,336
Fraise,476
Tarte poires amandes,1625
Tarte au citron meringuée,1730
Charlotte aux Fruits,506
Charlotte aux Fruits,464
Crème dessert à la vanille,600
Tarte au citron meringuée,1227
Tarte au citron meringuée,624
Opéra,668
Crème dessert à la vanille,1253
Tarte au citron meringuée,375
Opéra,672
Tarte poires amandes,1356
Tarte au citron meringuée,3041
Opéra,505
Litchi,1736
Crème dessert à la vanille,459
Crème dessert à la vanille,1556
Charlotte aux Fruits,1941
Charlotte aux Fruits,1222
Charlotte aux Fruits,804
Fraise,1300
Opéra,2999
Cookie,472
Salade de Fruits,2231
Cookie,1649
Tarte poires amandes,4905
Cookie,2047
Yaourt aux fruits,1462
Fraise,11137
Tarte poires amandes,803
Yaourt à la grecque,2861
Cookie,420
Charlotte aux Fruits,557
Fraise,347
Fraise,570
Charlotte aux Fruits,485
Fraise,509
Fraise,372
Tarte poires amandes,878
Tarte poires amandes,456
Charlotte aux Fruits,1319
Fraise,424
Cookie,3387
Fraise,3161
Tarte poires amandes,329
Salade de Fruits,750
Opéra,406
Opéra,793
Tarte au citron meringuée,533
Opéra,553
