Chou à la crème,630
Yaourt aux fruits,1391
Crème Caramel,1978
Yaourt aux fruits,555
Sundae,1197
Tarte aux Fruits,1429
Mille-Feuille,1346
Opéra,1233
Quatre-Quart,1947
Opéra,2815
Chou à la crème,2816
Quatre-Quart,1223
Yaourt aux fruits,745
Opéra,1170
Yaourt aux fruits,3060
Sundae,329
Yaourt sucré,3880
Mille-Feuille,692
Opéra,720
Quatre-Quart,332
Sundae,1401
Tarte aux Fruits,2643
Mille-Feuille,3126
Quatre-Quart,2089
Yaourt sucré,3726
Quatre-Quart,1640
Compote,1555
Opéra,2142
Compote,533
Mille-Feuille,1114
Cheesecake,2072
Compote,639
Pomme,612
Opéra,2043
Mille-Feuille,1460
Mille-Feuille,324
Quatre-Quart,992
Tarte aux Fruits,1402
Mangue,1046
Pomme,1031
Mangue,1066
Yaourt sucré,1957
Compote,1373
Compote,509
Opéra,4061
Crème Caramel,4219
Mangue,3547
Quatre-Quart,3819
Yaourt sucré,1272
Pomme,1247
Crème Caramel,4157
Compote,3159
Crème Caramel,3380
Sundae,2006
Yaourt sucré,2136
Pomme,9022
Tarte aux Fruits,9181
Pomme,3942
Yaourt sucré,4017
Mille-Feuille,11441
Chou à la crème,3746
Mille-Feuille,194
Mille-Feuille,313
Sundae,1021
Mangue,693
Chou à la crème,2047
Chou à la crème,510
Mangue,341
Mangue,822
Mangue,977
Compote,412
Sundae,1081
Tarte aux Fruits,5196
Opéra,5687
Compote,1354
Compote,1398
Quatre-Quart,2321
Pomme,3305
Quatre-Quart,883
Yaourt aux fruits,7157
Opéra,3184
