Glace,606
Yaourt à la grecque,856
Glace,816
Fraise,821
Liégeois,1101
Crème Caramel,598
Yaourt nature,879
Fraise,596
Tarte aux Fruits,827
Yaourt nature,363
Tarte aux Fruits,659
Liégeois,485
Madeleine,451
Crème Caramel,653
Liégeois,355
Tarte poires amandes,780
Liégeois,408
Yaourt à la grecque,406
Yaourt à la grecque,747
Crème Caramel,843
Tarte aux Fruits,1731
Tarte poires amandes,1261
Crème Caramel,678
Liégeois,603
Tarte aux Fruits,554
Glace,728
Glace,629
Yaourt à la grecque,526
Tarte aux Fruits,709
Cheesecake,1426
Crêpe à la confiture,929
Fraise,1034
Smoothie,433
Yaourt à la grecque,338
Fraise,669
Madeleine,619
Glace,583
Madeleine,338
Madeleine,333
Meringue,286
Liégeois,756
Crêpe à la confiture,437
Yaourt à la grecque,399
Smoothie,626
Yaourt à la grecque,567
Crème Caramel,690
Yaourt à la grecque,448
Crêpe à la confiture,650
Fraise,1649
Yaourt nature,470
Madeleine,426
Glace,414
Liégeois,592
Smoothie,501
Yaourt nature,1340
Glace,641
Tarte aux Fruits,1120
Smoothie,359
Crème Caramel,578
Yaourt à la grecque,798
Yaourt à la grecque,1854
Smoothie,513
Yaourt à la grecque,1385
Crêpe à la confiture,907
Madeleine,597
Meringue,1355
Smoothie,548
Yaourt à la grecque,448
Tarte aux Fruits,400
Meringue,340
Liégeois,470
Crème Caramel,740
Liégeois,440
Fraise,618
Smoothie,570
Crêpe à la confiture,501
Crème Caramel,485
Crêpe à la confiture,444
Fraise,315
Tarte poires amandes,537
Tarte poires amandes,325
