Glace,Smoothie, ,Glace,Glace,Glace,Glace
Yaourt à la grecque,Yaourt nature, ,Yaourt nature,Yaourt nature,Yaourt nature,Yaourt nature
Tarte poires amandes,Glace, ,Glace,Tarte poires amandes,Tarte poires amandes,Glace
Meringue,Fraise, ,Fraise,Fraise,Fraise,Fraise
Yaourt à la grecque,Liégeois, ,Yaourt à la grecque,Yaourt à la grecque,Yaourt à la grecque,Yaourt à la grecque
Meringue,Crème Caramel, ,Crème Caramel,Crème Caramel,Crème Caramel,Crème Caramel
Tarte poires amandes,Yaourt nature, ,Yaourt nature,Yaourt nature,Yaourt nature,Yaourt nature
Yaourt à la grecque,Fraise, ,Yaourt à la grecque,Fraise,Yaourt à la grecque,Fraise
Tarte aux Fruits,Yaourt nature, ,Tarte aux Fruits,Tarte aux Fruits,Tarte aux Fruits,Tarte aux Fruits
Yaourt nature,Kiwi, ,Kiwi,Kiwi,Kiwi,Kiwi
Tarte aux Fruits,Kiwi, ,Tarte aux Fruits,Tarte aux Fruits,Tarte aux Fruits,Tarte aux Fruits
Crêpe à la confiture,Liégeois, ,Liégeois,Crêpe à la confiture,Crêpe à la confiture,Crêpe à la confiture
Meringue,Madeleine, ,Meringue,Meringue,Madeleine,Meringue
Tarte aux Fruits,Crème Caramel, ,Tarte aux Fruits,Crème Caramel,Crème Caramel,Crème Caramel
Crème Caramel,Liégeois, ,Crème Caramel,Liégeois,Liégeois,Liégeois
Crêpe à la confiture,Tarte poires amandes, ,Crêpe à la confiture,Crêpe à la confiture,Crêpe à la confiture,Tarte poires amandes
Kiwi,Liégeois, ,Liégeois,Kiwi,Liégeois,Liégeois
Yaourt à la grecque,Kiwi, ,Kiwi,Kiwi,Kiwi,Kiwi
Tarte poires amandes,Yaourt à la grecque, ,Tarte poires amandes,Tarte poires amandes,Yaourt à la grecque,Tarte poires amandes
Yaourt à la grecque,Crème Caramel, ,Crème Caramel,Yaourt à la grecque,Crème Caramel,Yaourt à la grecque
Tarte aux Fruits,Cheesecake, ,Cheesecake,Cheesecake,Cheesecake,Cheesecake
