Compote,Yaourt sucré, ,Yaourt sucré,Yaourt sucré,Compote,Yaourt sucré
Tarte au citron meringuée,Opéra, ,Tarte au citron meringuée,Tarte au citron meringuée,Tarte au citron meringuée,Tarte au citron meringuée
Crêpe à la confiture,Flan aux œufs, ,Flan aux œufs,Flan aux œufs,Flan aux œufs,Flan aux œufs
Opéra,Tarte poires amandes, ,Opéra,Opéra,Opéra,Opéra
Tarte au citron meringuée,Yaourt sucré, ,Tarte au citron meringuée,Yaourt sucré,Tarte au citron meringuée,Tarte au citron meringuée
Tarte au citron meringuée,Liégeois, ,Tarte au citron meringuée,Liégeois,Liégeois,Liégeois
Crêpe à la confiture,Liégeois, ,Liégeois,Liégeois,Liégeois,Liégeois
Tarte poires amandes,Liégeois, ,Tarte poires amandes,Tarte poires amandes,Tarte poires amandes,Tarte poires amandes
Chou à la crème,Flan aux œufs, ,Chou à la crème,Chou à la crème,Flan aux œufs,Flan aux œufs
Opéra,Flan aux œufs, ,Opéra,Flan aux œufs,Opéra,Opéra
Opéra,Glace, ,Opéra,Opéra,Opéra,Opéra
Flan aux œufs,Compote, ,Compote,Compote,Compote,Compote
Glace,Chou à la crème, ,Glace,Glace,Glace,Chou à la crème
Tarte au citron meringuée,Crème dessert à la vanille, ,Tarte au citron meringuée,Crème dessert à la vanille,Tarte au citron meringuée,Crème dessert à la vanille
Opéra,Liégeois, ,Opéra,Liégeois,Liégeois,Opéra
Liégeois,Crème Caramel, ,Crème Caramel,Crème Caramel,Crème Caramel,Crème Caramel
Crêpe à la confiture,Yaourt sucré, ,Crêpe à la confiture,Crêpe à la confiture,Crêpe à la confiture,Crêpe à la confiture
Tarte au citron meringuée,Liégeois, ,Liégeois,Tarte au citron meringuée,Liégeois,Tarte au citron meringuée
Crêpe à la confiture,Glace, ,Glace,Glace,Crêpe à la confiture,Crêpe à la confiture
Glace,Flan aux œufs, ,Glace,Glace,Glace,Glace
Ile flottante,Flan aux œufs, ,Flan aux œufs,Flan aux œufs,Ile flottante,Flan aux œufs
Crème dessert à la vanille,Compote, ,Crème dessert à la vanille,Compote,Compote,Crème dessert à la vanille
Tarte au citron meringuée,Liégeois, ,Liégeois,Liégeois,Tarte au citron meringuée,Liégeois
Crème Caramel,Flan aux œufs, ,Crème Caramel,Crème Caramel,Crème Caramel,Crème Caramel
Glace,Liégeois, ,Glace,Liégeois,Glace,Glace
Crème dessert à la vanille,Crème Caramel, ,Crème dessert à la vanille,Crème dessert à la vanille,Crème dessert à la vanille,Crème dessert à la vanille
Tarte poires amandes,Compote, ,Compote,Compote,Tarte poires amandes,Compote
Tarte au citron meringuée,Crème Caramel, ,Tarte au citron meringuée,Crème Caramel,Crème Caramel,Crème Caramel
Opéra,Crème dessert à la vanille, ,Opéra,Crème dessert à la vanille,Opéra,Opéra
Opéra,Ile flottante, ,Ile flottante,Ile flottante,Ile flottante,Ile flottante
Tarte au citron meringuée,Sorbet, ,Tarte au citron meringuée,Tarte au citron meringuée,Tarte au citron meringuée,Tarte au citron meringuée
Crêpe à la confiture,Liégeois, ,Liégeois,Crêpe à la confiture,Liégeois,Crêpe à la confiture
Crêpe à la confiture,Opéra, ,Crêpe à la confiture,Crêpe à la confiture,Crêpe à la confiture,Crêpe à la confiture
Flan aux œufs,Yaourt sucré, ,Flan aux œufs,Flan aux œufs,Yaourt sucré,Yaourt sucré
Tarte poires amandes,Chou à la crème, ,Chou à la crème,Chou à la crème,Chou à la crème,Chou à la crème
Liégeois,Crème dessert à la vanille, ,Crème dessert à la vanille,Crème dessert à la vanille,Crème dessert à la vanille,Crème dessert à la vanille
Ile flottante,Crème Caramel, ,Ile flottante,Crème Caramel,Crème Caramel,Crème Caramel
Crème Caramel,Yaourt sucré, ,Crème Caramel,Crème Caramel,Crème Caramel,Crème Caramel
Chou à la crème,Opéra, ,Opéra,Opéra,Chou à la crème,Opéra
Tarte poires amandes,Flan aux œufs, ,Flan aux œufs,Flan aux œufs,Flan aux œufs,Flan aux œufs
Ile flottante,Compote, ,Compote,Ile flottante,Ile flottante,Compote
Tarte poires amandes,Sorbet, ,Sorbet,Tarte poires amandes,Sorbet,Tarte poires amandes
Opéra,Sorbet, ,Sorbet,Sorbet,Opéra,Sorbet
Tarte poires amandes,Ile flottante, ,Tarte poires amandes,Ile flottante,Ile flottante,Tarte poires amandes
Sorbet,Crème dessert à la vanille, ,Sorbet,Sorbet,Sorbet,Sorbet
Chou à la crème,Yaourt sucré, ,Yaourt sucré,Yaourt sucré,Chou à la crème,Chou à la crème
Crème dessert à la vanille,Liégeois, ,Liégeois,Liégeois,Crème dessert à la vanille,Liégeois
Sorbet,Tarte poires amandes, ,Tarte poires amandes,Sorbet,Sorbet,Sorbet
Yaourt sucré,Crème dessert à la vanille, ,Crème dessert à la vanille,Yaourt sucré,Crème dessert à la vanille,Yaourt sucré
Crème Caramel,Ile flottante, ,Crème Caramel,Crème Caramel,Ile flottante,Ile flottante
Opéra,Chou à la crème, ,Opéra,Opéra,Opéra,Chou à la crème
Opéra,Crème Caramel, ,Crème Caramel,Crème Caramel,Crème Caramel,Crème Caramel
Compote,Crème Caramel, ,Crème Caramel,Compote,Compote,Compote
Glace,Tarte au citron meringuée, ,Glace,Tarte au citron meringuée,Tarte au citron meringuée,Glace
Chou à la crème,Compote, ,Compote,Compote,Compote,Compote
Tarte au citron meringuée,Liégeois, ,Tarte au citron meringuée,Tarte au citron meringuée,Tarte au citron meringuée,Tarte au citron meringuée
Chou à la crème,Flan aux œufs, ,Flan aux œufs,Flan aux œufs,Flan aux œufs,Flan aux œufs
Glace,Compote, ,Compote,Glace,Glace,Glace
Tarte au citron meringuée,Flan aux œufs, ,Flan aux œufs,Flan aux œufs,Flan aux œufs,Flan aux œufs
Crème dessert à la vanille,Flan aux œufs, ,Flan aux œufs,Crème dessert à la vanille,Flan aux œufs,Flan aux œufs
Crêpe à la confiture,Chou à la crème, ,Crêpe à la confiture,Chou à la crème,Crêpe à la confiture,Chou à la crème
Opéra,Crème Caramel, ,Opéra,Opéra,Opéra,Opéra
Sorbet,Compote, ,Sorbet,Sorbet,Sorbet,Sorbet
Tarte poires amandes,Ile flottante, ,Tarte poires amandes,Tarte poires amandes,Tarte poires amandes,Ile flottante
Sorbet,Glace, ,Sorbet,Glace,Sorbet,Glace
Sorbet,Crème Caramel, ,Sorbet,Sorbet,Sorbet,Crème Caramel
Crêpe à la confiture,Yaourt sucré, ,Yaourt sucré,Yaourt sucré,Crêpe à la confiture,Yaourt sucré
Yaourt sucré,Flan aux œufs, ,Flan aux œufs,Yaourt sucré,Flan aux œufs,Yaourt sucré
Crêpe à la confiture,Flan aux œufs, ,Flan aux œufs,Flan aux œufs,Flan aux œufs,Flan aux œufs
Tarte poires amandes,Glace, ,Glace,Tarte poires amandes,Glace,Tarte poires amandes
Glace,Sorbet, ,Glace,Glace,Sorbet,Glace
Tarte au citron meringuée,Liégeois, ,Tarte au citron meringuée,Tarte au citron meringuée,Tarte au citron meringuée,Tarte au citron meringuée
Tarte au citron meringuée,Yaourt sucré, ,Yaourt sucré,Yaourt sucré,Yaourt sucré,Tarte au citron meringuée
Crêpe à la confiture,Compote, ,Crêpe à la confiture,Compote,Compote,Crêpe à la confiture
Liégeois,Yaourt sucré, ,Liégeois,Liégeois,Liégeois,Liégeois
Glace,Flan aux œufs, ,Glace,Glace,Glace,Glace
Crème dessert à la vanille,Yaourt sucré, ,Yaourt sucré,Crème dessert à la vanille,Crème dessert à la vanille,Crème dessert à la vanille
Chou à la crème,Glace, ,Glace,Glace,Glace,Glace
Crème Caramel,Liégeois, ,Crème Caramel,Liégeois,Crème Caramel,Liégeois
Crêpe à la confiture,Flan aux œufs, ,Flan aux œufs,Flan aux œufs,Crêpe à la confiture,Flan aux œufs
Chou à la crème,Crêpe à la confiture, ,Crêpe à la confiture,Crêpe à la confiture,Chou à la crème,Crêpe à la confiture
Tarte poires amandes,Crêpe à la confiture, ,Crêpe à la confiture,Tarte poires amandes,Crêpe à la confiture,Tarte poires amandes
