Milk-Shake,1225
Quatre-Quart,479
Brownie,8598
Yaourt aux fruits,39
Yaourt aux fruits,381
Milk-Shake,771
Quatre-Quart,344
Tiramisu,2021
Banane,6406
Cookie,3087
Cookie,624
Flan aux œufs,307
Flan aux œufs,1501
Yaourt aux fruits,432
Flan aux œufs,6813
Sablé à la noix de coco,414
Banane,997
Brownie,20067
Flan aux œufs,3118
Brownie,593
Sablé à la noix de coco,20057
Sablé à la noix de coco,1166
Riz au lait,6783
Sablé à la noix de coco,3867
Sablé à la noix de coco,313
Flan aux œufs,373
Banane,310
Quatre-Quart,2330
Crêpe au chocolat,853
Brownie,2081
Yaourt aux fruits,279
Quatre-Quart,1017
Sablé à la noix de coco,1331
Brownie,254
Quatre-Quart,728
Sablé à la noix de coco,325
Ile flottante,1353
Cookie,7531
Quatre-Quart,2310
Quatre-Quart,775
Milk-Shake,104
Crêpe au chocolat,4254
Brownie,778
Crêpe au chocolat,41605
Quatre-Quart,1676
Crêpe au chocolat,1242
Banane,466
Yaourt sucré,10119
Cookie,1002
Yaourt aux fruits,1825
Quatre-Quart,660
Flan aux œufs,1487
Yaourt aux fruits,877
Yaourt aux fruits,355
Banane,7965
Tiramisu,5097
Yaourt sucré,1665
Flan aux œufs,3457
Brownie,3097
Brownie,1599
Cookie,11512
Sablé à la noix de coco,6719
Riz au lait,356
Crêpe au chocolat,296
Flan aux œufs,13151
Tiramisu,2803
Crêpe au chocolat,27373
Crêpe au chocolat,8975
Flan aux œufs,1346
Yaourt aux fruits,304
Brownie,1014
Brownie,492
Brownie,1497
Milk-Shake,29301
Yaourt aux fruits,2472
Yaourt sucré,7553
Tiramisu,437
Tiramisu,411
Banane,3016
Crêpe au chocolat,5645
Quatre-Quart,1557
