Sundae,724
Sundae,1836
Mille-Feuille,6488
Mille-Feuille,3981
Tarte poires amandes,1446
Crêpe au chocolat,1696
Crêpe au chocolat,1467
Yaourt aux fruits,537
Tarte poires amandes,3041
Mille-Feuille,295
Kiwi,9406
Pomme,1364
Crêpe au chocolat,1535
Mille-Feuille,837
Sundae,1053
Kiwi,860
Kiwi,749
Tarte poires amandes,281
Crème Caramel,277
Kiwi,229
Kiwi,333
Chou à la crème,552
Crêpe au chocolat,334
Tarte poires amandes,430
Kiwi,444
Chou à la crème,1374
Crème Caramel,710
Yaourt aux fruits,1517
Sundae,73
Chou à la crème,926
Kiwi,5127
Pomme,1436
Kiwi,242
Clémentine,209
Yaourt aux fruits,301
Mille-Feuille,808
Sundae,318
Kiwi,709
Tarte poires amandes,323
Sundae,342
Mille-Feuille,1029
Mille-Feuille,283
Yaourt aux fruits,451
Kiwi,823
Chou à la crème,983
Chou à la crème,396
Sundae,2583
Chou à la crème,916
Sundae,464
Kiwi,247
Yaourt aux fruits,903
Pomme,862
Mille-Feuille,479
Kiwi,1670
Tarte poires amandes,2843
Pomme,250
Pomme,263
Pomme,39
Clémentine,1021
Crème Caramel,342
Yaourt aux fruits,729
Mille-Feuille,908
Crêpe au chocolat,245
Mille-Feuille,407
Mille-Feuille,300
Pomme,1538
Tarte poires amandes,1439
Yaourt aux fruits,321
Mille-Feuille,309
Crêpe au chocolat,45
Brownie,520
Mille-Feuille,1805
Yaourt aux fruits,241
Ile flottante,345
Chou à la crème,358
Brownie,2143
Clémentine,426
Tarte poires amandes,144
Chou à la crème,479
Chou à la crème,207
Sundae,223
