Yaourt nature,969
Chou à la crème,1563
Sundae,853
Riz au lait,663
Riz au lait,412
Brownie,828
Brownie,641
Yaourt nature,721
Pomme,567
Mangue,400
Sundae,492
Yaourt nature,388
Riz au lait,647
Brownie,534
Riz au lait,460
Sundae,510
Brownie,736
Sundae,616
Mangue,683
Sundae,566
Sundae,471
Mangue,286
Mangue,252
Tarte poires amandes,419
Brownie,277
Riz au lait,534
Yaourt nature,258
Yaourt nature,288
Tarte aux Fruits,599
Sundae,287
Yaourt nature,246
Tarte poires amandes,294
Riz au lait,296
Yaourt nature,248
Raisin,351
Pomme,346
Tarte aux Fruits,274
Brownie,443
Pomme,247
Brownie,350
Mangue,377
Riz au lait,284
Raisin,386
Sundae,1033
Sundae,426
Tarte aux Fruits,448
Tarte aux Fruits,225
Sundae,408
Sundae,301
Raisin,683
Mangue,304
Pomme,261
Raisin,265
Raisin,434
Sundae,236
Pomme,261
Yaourt nature,704
Raisin,298
Sundae,265
Sundae,254
Chou à la crème,308
Brownie,258
Riz au lait,221
Yaourt nature,215
Riz au lait,253
Sundae,271
Pomme,276
Cheesecake,271
Cheesecake,256
Tarte aux Fruits,290
Riz au lait,238
Yaourt nature,242
Chou à la crème,229
Cheesecake,281
Tarte aux Fruits,249
Yaourt nature,301
Riz au lait,219
Riz au lait,293
Sundae,284
Tarte aux Fruits,269
Riz au lait,279
