Meringue,Orange, ,Meringue,Meringue,Meringue,Orange
Yaourt sucré,Raisin, ,Raisin,Raisin,Raisin,Raisin
Quatre-Quart,Yaourt sucré, ,Yaourt sucré,Quatre-Quart,Yaourt sucré,Quatre-Quart
Yaourt à la grecque,Fraise, ,Fraise,Fraise,Fraise,Fraise
Sorbet,Raisin, ,Raisin,Raisin,Raisin,Raisin
Crêpe à la confiture,Smoothie, ,Smoothie,Smoothie,Smoothie,Crêpe à la confiture
Tarte au chocolat,Fraise, ,Tarte au chocolat,Fraise,Fraise,Fraise
Quatre-Quart,Sorbet, ,Quatre-Quart,Sorbet,Quatre-Quart,Quatre-Quart
Tarte au chocolat,Meringue, ,Meringue,Meringue,Tarte au chocolat,Tarte au chocolat
Crêpe à la confiture,Sorbet, ,Crêpe à la confiture,Crêpe à la confiture,Crêpe à la confiture,Crêpe à la confiture
Crêpe à la confiture,Cheesecake, ,Cheesecake,Crêpe à la confiture,Cheesecake,Cheesecake
Chou à la crème,Crêpe à la confiture, ,Chou à la crème,Chou à la crème,Chou à la crème,Crêpe à la confiture
Raisin,Yaourt sucré, ,Raisin,Raisin,Raisin,Yaourt sucré
Meringue,Riz au lait, ,Meringue,Riz au lait,Meringue,Meringue
Fraise,Riz au lait, ,Fraise,Riz au lait,Fraise,Riz au lait
Sorbet,Riz au lait, ,Sorbet,Riz au lait,Riz au lait,Sorbet
Tarte au chocolat,Fraise, ,Fraise,Fraise,Fraise,Fraise
Raisin,Smoothie, ,Smoothie,Smoothie,Smoothie,Smoothie
Meringue,Yaourt sucré, ,Meringue,Meringue,Meringue,Meringue
Raisin,Riz au lait, ,Riz au lait,Riz au lait,Raisin,Raisin
Yaourt sucré,Smoothie, ,Smoothie,Smoothie,Smoothie,Yaourt sucré
Tarte au chocolat,Orange, ,Orange,Tarte au chocolat,Orange,Orange
Quatre-Quart,Yaourt à la grecque, ,Quatre-Quart,Quatre-Quart,Quatre-Quart,Quatre-Quart
