Quatre-Quart,1546
Cookie,1823
Cookie,614
Orange,1135
Smoothie,985
Raisin,1066
Cake aux Fruits,595
Sorbet,851
Sorbet,422
Orange,478
Quatre-Quart,359
Charlotte aux Fruits,437
Crème dessert à la vanille,581
Crème dessert à la vanille,166
Banane,506
Charlotte aux Fruits,269
Crème dessert à la vanille,290
Smoothie,333
Orange,365
Charlotte aux Fruits,304
Cake aux Fruits,338
Charlotte aux Fruits,1108
Smoothie,69
Cake aux Fruits,478
Banane,483
Quatre-Quart,250
Charlotte aux Fruits,265
Cookie,1073
Charlotte aux Fruits,660
Cookie,344
Raisin,1610
Banane,1566
Charlotte aux Fruits,897
Smoothie,2906
Sorbet,321
Raisin,945
Meringue,1033
Charlotte aux Fruits,232
Cake aux Fruits,1186
Orange,419
Charlotte aux Fruits,390
Raisin,638
Smoothie,575
Charlotte aux Fruits,475
Charlotte aux Fruits,660
Raisin,1718
Quatre-Quart,353
Orange,147
Yaourt à la grecque,712
Charlotte aux Fruits,290
Banane,1000
Cookie,1192
Banane,219
Cake aux Fruits,324
Quatre-Quart,1460
Cake aux Fruits,310
Quatre-Quart,327
Banane,446
Cake aux Fruits,50
Smoothie,488
Quatre-Quart,853
Raisin,818
Raisin,471
Cake aux Fruits,269
Cookie,365
Charlotte aux Fruits,571
Banane,299
Quatre-Quart,1718
Meringue,302
Charlotte aux Fruits,272
Cookie,1098
Meringue,279
Banane,320
Sorbet,677
Charlotte aux Fruits,1273
Crème dessert à la vanille,109
Sorbet,1591
Raisin,3936
Charlotte aux Fruits,707
Sorbet,318
Cookie,293
