Sorbet,1334
Madeleine,942
Tarte aux Fruits,829
Quatre-Quart,1073
Mangue,532
Milk-Shake,833
Riz au lait,993
Crêpe à la confiture,712
Crêpe à la confiture,488
Crêpe à la confiture,419
Quatre-Quart,700
Madeleine,605
Smoothie,526
Sundae,678
Sundae,424
Riz au lait,503
Sundae,778
Riz au lait,381
Riz au lait,1650
Sorbet,1283
Milk-Shake,1022
Sundae,860
Sundae,516
Yaourt aux fruits,492
Tarte aux Fruits,862
Tarte aux Fruits,255
Tarte aux Fruits,316
Quatre-Quart,439
Smoothie,1854
Sundae,505
Quatre-Quart,809
Riz au lait,1124
Madeleine,796
Sundae,526
Crêpe à la confiture,1752
Yaourt aux fruits,818
Quatre-Quart,609
Mangue,663
Milk-Shake,456
Madeleine,697
Smoothie,333
Sundae,778
Riz au lait,1204
Sundae,795
Quatre-Quart,904
Crêpe à la confiture,814
Crêpe à la confiture,828
Kiwi,514
Mangue,2035
Tarte aux Fruits,570
Quatre-Quart,1155
Milk-Shake,672
Sundae,599
Riz au lait,1487
Quatre-Quart,514
Yaourt aux fruits,1071
Sundae,721
Riz au lait,855
Quatre-Quart,1129
Mangue,418
Crêpe à la confiture,642
Sundae,833
Milk-Shake,624
Madeleine,348
Madeleine,406
Milk-Shake,432
Sorbet,890
Milk-Shake,510
Mille-Feuille,718
Sorbet,314
Mangue,342
Sorbet,739
Smoothie,773
Yaourt aux fruits,522
Quatre-Quart,570
Madeleine,878
Milk-Shake,1020
Quatre-Quart,1115
Crêpe à la confiture,817
Smoothie,351
Quatre-Quart,774
