Sorbet,Mangue, ,Mangue,Mangue,Sorbet,Sorbet
Madeleine,Smoothie, ,Smoothie,Madeleine,Madeleine,Madeleine
Tarte aux Fruits,Crème Caramel, ,Crème Caramel,Crème Caramel,Crème Caramel,Crème Caramel
Quatre-Quart,Smoothie, ,Quatre-Quart,Quatre-Quart,Quatre-Quart,Smoothie
Crème Caramel,Mangue, ,Mangue,Crème Caramel,Crème Caramel,Crème Caramel
Quatre-Quart,Milk-Shake, ,Milk-Shake,Quatre-Quart,Milk-Shake,Milk-Shake
Smoothie,Riz au lait, ,Smoothie,Riz au lait,Smoothie,Smoothie
Crêpe à la confiture,Milk-Shake, ,Crêpe à la confiture,Crêpe à la confiture,Crêpe à la confiture,Crêpe à la confiture
Crêpe à la confiture,Kiwi, ,Crêpe à la confiture,Crêpe à la confiture,Crêpe à la confiture,Crêpe à la confiture
Crêpe à la confiture,Mille-Feuille, ,Crêpe à la confiture,Mille-Feuille,Crêpe à la confiture,Crêpe à la confiture
Quatre-Quart,Yaourt aux fruits, ,Quatre-Quart,Quatre-Quart,Quatre-Quart,Yaourt aux fruits
Madeleine,Crème Caramel, ,Madeleine,Madeleine,Madeleine,Madeleine
Mangue,Smoothie, ,Mangue,Smoothie,Mangue,Smoothie
Sundae,Kiwi, ,Sundae,Sundae,Sundae,Sundae
Sorbet,Sundae, ,Sorbet,Sorbet,Sundae,Sundae
Crème Caramel,Riz au lait, ,Crème Caramel,Crème Caramel,Riz au lait,Riz au lait
Sundae,Smoothie, ,Sundae,Smoothie,Smoothie,Smoothie
Crêpe à la confiture,Riz au lait, ,Crêpe à la confiture,Crêpe à la confiture,Riz au lait,Crêpe à la confiture
Riz au lait,Milk-Shake, ,Milk-Shake,Riz au lait,Riz au lait,Riz au lait
Quatre-Quart,Sorbet, ,Sorbet,Sorbet,Sorbet,Sorbet
Sundae,Milk-Shake, ,Milk-Shake,Milk-Shake,Milk-Shake,Milk-Shake
Sundae,Quatre-Quart, ,Sundae,Sundae,Sundae,Sundae
Sundae,Sorbet, ,Sundae,Sundae,Sundae,Sundae
Kiwi,Yaourt aux fruits, ,Yaourt aux fruits,Kiwi,Kiwi,Yaourt aux fruits
Tarte aux Fruits,Riz au lait, ,Riz au lait,Riz au lait,Riz au lait,Riz au lait
Tarte aux Fruits,Crème Caramel, ,Crème Caramel,Crème Caramel,Crème Caramel,Crème Caramel
Tarte aux Fruits,Yaourt aux fruits, ,Tarte aux Fruits,Tarte aux Fruits,Tarte aux Fruits,Tarte aux Fruits
Quatre-Quart,Crème Caramel, ,Quatre-Quart,Quatre-Quart,Crème Caramel,Quatre-Quart
Quatre-Quart,Smoothie, ,Smoothie,Smoothie,Smoothie,Smoothie
Mille-Feuille,Sundae, ,Sundae,Mille-Feuille,Mille-Feuille,Sundae
Crêpe à la confiture,Quatre-Quart, ,Quatre-Quart,Quatre-Quart,Crêpe à la confiture,Quatre-Quart
Madeleine,Riz au lait, ,Madeleine,Madeleine,Riz au lait,Riz au lait
Madeleine,Crème Caramel, ,Crème Caramel,Crème Caramel,Madeleine,Madeleine
Sundae,Riz au lait, ,Sundae,Riz au lait,Sundae,Riz au lait
Crêpe à la confiture,Yaourt aux fruits, ,Yaourt aux fruits,Yaourt aux fruits,Yaourt aux fruits,Yaourt aux fruits
Mille-Feuille,Yaourt aux fruits, ,Yaourt aux fruits,Yaourt aux fruits,Yaourt aux fruits,Mille-Feuille
Quatre-Quart,Crêpe à la confiture, ,Quatre-Quart,Crêpe à la confiture,Quatre-Quart,Quatre-Quart
Madeleine,Mangue, ,Mangue,Mangue,Mangue,Mangue
Mille-Feuille,Milk-Shake, ,Mille-Feuille,Milk-Shake,Milk-Shake,Mille-Feuille
Madeleine,Crêpe à la confiture, ,Madeleine,Crêpe à la confiture,Crêpe à la confiture,Madeleine
Crème Caramel,Smoothie, ,Smoothie,Smoothie,Smoothie,Crème Caramel
Madeleine,Sundae, ,Madeleine,Sundae,Madeleine,Madeleine
Riz au lait,Yaourt aux fruits, ,Riz au lait,Riz au lait,Riz au lait,Riz au lait
Sundae,Mangue, ,Sundae,Sundae,Sundae,Sundae
Quatre-Quart,Mangue, ,Quatre-Quart,Quatre-Quart,Mangue,Mangue
Crêpe à la confiture,Madeleine, ,Crêpe à la confiture,Crêpe à la confiture,Crêpe à la confiture,Crêpe à la confiture
Crêpe à la confiture,Kiwi, ,Kiwi,Kiwi,Kiwi,Crêpe à la confiture
Kiwi,Crème Caramel, ,Crème Caramel,Crème Caramel,Crème Caramel,Crème Caramel
