Quatre-Quart,1081
Yaourt nature,753
Tiramisu,1146
Opéra,1077
Tiramisu,1318
Crème Caramel,1361
Liégeois,1339
Salade de Fruits,1264
Quatre-Quart,3526
Cake aux Fruits,4084
Clémentine,1873
Brownie,2103
Tiramisu,1981
Quatre-Quart,1133
Kiwi,1080
Liégeois,1441
Opéra,1482
Quatre-Quart,857
Crème Caramel,985
Kiwi,961
Crème Caramel,925
Brownie,1265
Tiramisu,1178
Kiwi,2014
Tiramisu,1622
Cake aux Fruits,968
Kiwi,1050
Quatre-Quart,910
Salade de Fruits,1124
Crème Caramel,1331
Meringue,998
Riz au lait,1355
Riz au lait,757
Riz au lait,2067
Brownie,1031
Yaourt nature,1639
Brownie,1110
Crème Caramel,2558
Yaourt nature,2166
Crème Caramel,3674
Tiramisu,1925
Salade de Fruits,884
Cake aux Fruits,1252
Brownie,1606
Quatre-Quart,1353
Yaourt nature,1036
Liégeois,2001
Brownie,1161
Yaourt nature,1414
Clémentine,1038
Cheesecake,1560
Liégeois,1222
Opéra,1358
Cheesecake,1609
Quatre-Quart,1276
Opéra,2241
Cake aux Fruits,1924
Brownie,1438
Brownie,1056
Liégeois,935
Opéra,1264
Yaourt nature,1389
Clémentine,1955
Crème Caramel,4007
Brownie,2126
Salade de Fruits,3675
Cake aux Fruits,2234
Kiwi,1200
Tiramisu,1665
Crème Caramel,1613
Clémentine,1479
Cheesecake,931
Brownie,2344
Crème Caramel,5558
Quatre-Quart,2841
Meringue,1204
Opéra,866
Riz au lait,1180
Salade de Fruits,2473
Opéra,2108
Opéra,1782
