Glace,Liégeois, ,Liégeois,Liégeois,Liégeois,Liégeois
Smoothie,Liégeois, ,Liégeois,Liégeois,Smoothie,Smoothie
Salade de Fruits,Liégeois, ,Liégeois,Liégeois,Salade de Fruits,Liégeois
Chou à la crème,Liégeois, ,Liégeois,Liégeois,Liégeois,Liégeois
Cake aux Fruits,Orange, ,Orange,Orange,Orange,Orange
Tarte au citron meringuée,Cake aux Fruits, ,Tarte au citron meringuée,Cake aux Fruits,Cake aux Fruits,Cake aux Fruits
Chou à la crème,Salade de Fruits, ,Salade de Fruits,Chou à la crème,Salade de Fruits,Salade de Fruits
Crêpe à la confiture,Quatre-Quart, ,Crêpe à la confiture,Quatre-Quart,Quatre-Quart,Crêpe à la confiture
Tarte au citron meringuée,Salade de Fruits, ,Tarte au citron meringuée,Tarte au citron meringuée,Tarte au citron meringuée,Tarte au citron meringuée
Chou à la crème,Glace, ,Chou à la crème,Chou à la crème,Glace,Glace
Crêpe à la confiture,Tarte au citron meringuée, ,Tarte au citron meringuée,Crêpe à la confiture,Crêpe à la confiture,Crêpe à la confiture
Crème Caramel,Liégeois, ,Crème Caramel,Liégeois,Crème Caramel,Crème Caramel
Quatre-Quart,Smoothie, ,Quatre-Quart,Quatre-Quart,Quatre-Quart,Quatre-Quart
Yaourt sucré,Liégeois, ,Liégeois,Liégeois,Liégeois,Liégeois
Meringue,Tarte au citron meringuée, ,Meringue,Meringue,Meringue,Meringue
Cake aux Fruits,Smoothie, ,Cake aux Fruits,Cake aux Fruits,Smoothie,Cake aux Fruits
Quatre-Quart,Salade de Fruits, ,Salade de Fruits,Salade de Fruits,Quatre-Quart,Salade de Fruits
Tarte au citron meringuée,Liégeois, ,Tarte au citron meringuée,Tarte au citron meringuée,Tarte au citron meringuée,Tarte au citron meringuée
Chou à la crème,Meringue, ,Meringue,Chou à la crème,Chou à la crème,Meringue
Crêpe à la confiture,Compote, ,Compote,Compote,Compote,Compote
Chou à la crème,Compote, ,Chou à la crème,Chou à la crème,Chou à la crème,Chou à la crème
Quatre-Quart,Crêpe à la confiture, ,Quatre-Quart,Crêpe à la confiture,Quatre-Quart,Crêpe à la confiture
Quatre-Quart,Smoothie, ,Smoothie,Smoothie,Smoothie,Smoothie
Glace,Meringue, ,Glace,Glace,Glace,Glace
Tarte au citron meringuée,Liégeois, ,Tarte au citron meringuée,Tarte au citron meringuée,Tarte au citron meringuée,Tarte au citron meringuée
Chou à la crème,Yaourt sucré, ,Chou à la crème,Chou à la crème,Chou à la crème,Chou à la crème
Meringue,Orange, ,Meringue,Orange,Orange,Meringue
Cake aux Fruits,Compote, ,Compote,Cake aux Fruits,Cake aux Fruits,Cake aux Fruits
Chou à la crème,Salade de Fruits, ,Chou à la crème,Chou à la crème,Salade de Fruits,Chou à la crème
Glace,Crème Caramel, ,Glace,Crème Caramel,Crème Caramel,Crème Caramel
Orange,Compote, ,Compote,Compote,Compote,Compote
Cake aux Fruits,Smoothie, ,Cake aux Fruits,Smoothie,Smoothie,Smoothie
Quatre-Quart,Liégeois, ,Liégeois,Quatre-Quart,Liégeois,Quatre-Quart
