Madeleine,343
Milk-Shake,647
Brownie,275
Opéra,393
Opéra,300
Mangue,608
Tarte poires amandes,312
Madeleine,426
Yaourt à la grecque,348
Cake aux Fruits,322
Tarte poires amandes,381
Mangue,436
Sundae,376
Milk-Shake,342
Liégeois,419
Liégeois,288
Yaourt à la grecque,311
Opéra,682
Yaourt sucré,476
Opéra,982
Yaourt à la grecque,401
Mangue,317
Milk-Shake,386
Milk-Shake,426
Opéra,414
Opéra,579
Brownie,300
Opéra,386
Yaourt à la grecque,357
Sundae,758
Mangue,341
Milk-Shake,293
Brownie,488
Brownie,302
Yaourt sucré,473
Mangue,276
Brownie,508
Yaourt sucré,438
Mangue,384
Madeleine,976
Tarte poires amandes,357
Mangue,345
Milk-Shake,405
Brownie,2654
Mangue,288
Mangue,290
Milk-Shake,367
Opéra,2413
Milk-Shake,365
Mangue,338
Yaourt à la grecque,359
Brownie,686
Yaourt nature,282
Mangue,702
Yaourt sucré,2465
Brownie,492
Tarte poires amandes,432
Madeleine,353
Mangue,387
Milk-Shake,348
Brownie,320
Sundae,914
Brownie,394
Sundae,557
Sundae,456
Opéra,710
Brownie,457
Sundae,308
Opéra,342
Tarte poires amandes,352
Milk-Shake,445
Mangue,463
Liégeois,355
Brownie,406
Mangue,371
Yaourt sucré,474
Milk-Shake,380
Yaourt sucré,487
Sundae,345
Liégeois,385
Tarte poires amandes,442
