Madeleine,Charlotte aux Fruits, ,Madeleine,Madeleine,Madeleine,Madeleine
Liégeois,Milk-Shake, ,Liégeois,Liégeois,Liégeois,Liégeois
Tarte poires amandes,Brownie, ,Tarte poires amandes,Brownie,Brownie,Brownie
Opéra,Tarte poires amandes, ,Tarte poires amandes,Opéra,Opéra,Opéra
Cake aux Fruits,Opéra, ,Cake aux Fruits,Cake aux Fruits,Opéra,Opéra
Opéra,Mangue, ,Mangue,Mangue,Mangue,Mangue
Madeleine,Tarte poires amandes, ,Madeleine,Tarte poires amandes,Tarte poires amandes,Tarte poires amandes
Cake aux Fruits,Madeleine, ,Cake aux Fruits,Cake aux Fruits,Madeleine,Madeleine
Crème dessert à la vanille,Yaourt à la grecque, ,Crème dessert à la vanille,Yaourt à la grecque,Crème dessert à la vanille,Crème dessert à la vanille
Cake aux Fruits,Charlotte aux Fruits, ,Cake aux Fruits,Cake aux Fruits,Charlotte aux Fruits,Charlotte aux Fruits
Cake aux Fruits,Tarte poires amandes, ,Cake aux Fruits,Cake aux Fruits,Cake aux Fruits,Tarte poires amandes
Mangue,Yaourt nature, ,Yaourt nature,Mangue,Yaourt nature,Mangue
Sundae,Liégeois, ,Sundae,Liégeois,Sundae,Sundae
Yaourt à la grecque,Milk-Shake, ,Milk-Shake,Milk-Shake,Yaourt à la grecque,Yaourt à la grecque
Tarte poires amandes,Liégeois, ,Tarte poires amandes,Tarte poires amandes,Tarte poires amandes,Tarte poires amandes
Cake aux Fruits,Liégeois, ,Cake aux Fruits,Liégeois,Liégeois,Liégeois
Madeleine,Yaourt à la grecque, ,Yaourt à la grecque,Madeleine,Yaourt à la grecque,Madeleine
Opéra,Sundae, ,Opéra,Opéra,Sundae,Opéra
Madeleine,Yaourt sucré, ,Madeleine,Madeleine,Madeleine,Yaourt sucré
Opéra,Yaourt sucré, ,Opéra,Opéra,Opéra,Opéra
Yaourt nature,Yaourt à la grecque, ,Yaourt nature,Yaourt nature,Yaourt à la grecque,Yaourt à la grecque
Tarte poires amandes,Mangue, ,Mangue,Mangue,Mangue,Tarte poires amandes
Tarte poires amandes,Milk-Shake, ,Milk-Shake,Milk-Shake,Milk-Shake,Milk-Shake
Milk-Shake,Yaourt nature, ,Milk-Shake,Milk-Shake,Yaourt nature,Milk-Shake
Opéra,Cake aux Fruits, ,Cake aux Fruits,Cake aux Fruits,Opéra,Opéra
Opéra,Yaourt à la grecque, ,Yaourt à la grecque,Yaourt à la grecque,Yaourt à la grecque,Yaourt à la grecque
Opéra,Brownie, ,Opéra,Opéra,Opéra,Opéra
Opéra,Yaourt sucré, ,Opéra,Opéra,Opéra,Opéra
Yaourt à la grecque,Yaourt nature, ,Yaourt nature,Yaourt à la grecque,Yaourt nature,Yaourt à la grecque
Sundae,Yaourt à la grecque, ,Yaourt à la grecque,Sundae,Sundae,Sundae
