Chou à la crème,3274
Meringue,1939
Madeleine,4297
Madeleine,3252
Raisin,188
Crème dessert à la vanille,1196
Sundae,268
Sundae,255
Tarte poires amandes,1060
Raisin,243
Riz au lait,2837
Meringue,2093
Madeleine,989
Milk-Shake,262
Riz au lait,336
Tarte poires amandes,1695
Riz au lait,258
Madeleine,587
Sundae,291
Fraisier,343
Riz au lait,535
Salade de Fruits,608
Madeleine,283
Salade de Fruits,478
Yaourt sucré,1327
Riz au lait,277
Yaourt sucré,242
Tarte poires amandes,313
Yaourt sucré,353
Milk-Shake,270
Tarte poires amandes,403
Yaourt sucré,624
Fraisier,288
Fraisier,4651
Meringue,7097
Riz au lait,266
Crème dessert à la vanille,242
Tarte poires amandes,295
Milk-Shake,246
Riz au lait,295
Meringue,247
Crème dessert à la vanille,277
Tarte poires amandes,3681
Fraisier,328
Fraisier,893
Meringue,2047
Milk-Shake,3171
Crème dessert à la vanille,3599
Riz au lait,988
Riz au lait,290
Crème dessert à la vanille,1606
Charlotte aux Fruits,310
Charlotte aux Fruits,1831
Yaourt sucré,2207
Sundae,3471
Milk-Shake,2445
Riz au lait,1234
Milk-Shake,245
Yaourt sucré,1144
Charlotte aux Fruits,517
Yaourt sucré,328
Riz au lait,231
Charlotte aux Fruits,1066
Charlotte aux Fruits,800
Tarte poires amandes,3779
Madeleine,3994
Sundae,1351
Crème dessert à la vanille,7654
Tarte poires amandes,214
Sundae,278
Milk-Shake,249
Fraisier,395
Milk-Shake,288
Riz au lait,272
Milk-Shake,255
Sundae,303
Riz au lait,278
Milk-Shake,256
Sundae,391
Fraisier,460
Salade de Fruits,569
