Chou à la crème,Salade de Fruits, ,Salade de Fruits,Salade de Fruits,Salade de Fruits,Salade de Fruits
Meringue,Sundae, ,Meringue,Meringue,Sundae,Sundae
Sundae,Madeleine, ,Madeleine,Madeleine,Madeleine,Madeleine
Charlotte aux Fruits,Madeleine, ,Charlotte aux Fruits,Madeleine,Charlotte aux Fruits,Charlotte aux Fruits
Charlotte aux Fruits,Raisin, ,Raisin,Raisin,Raisin,Raisin
Crème dessert à la vanille,Yaourt sucré, ,Yaourt sucré,Crème dessert à la vanille,Yaourt sucré,Crème dessert à la vanille
Sundae,Salade de Fruits, ,Sundae,Sundae,Sundae,Salade de Fruits
Madeleine,Sundae, ,Sundae,Sundae,Sundae,Sundae
Charlotte aux Fruits,Tarte poires amandes, ,Tarte poires amandes,Charlotte aux Fruits,Charlotte aux Fruits,Charlotte aux Fruits
Chou à la crème,Raisin, ,Chou à la crème,Chou à la crème,Chou à la crème,Chou à la crème
Fraisier,Riz au lait, ,Riz au lait,Riz au lait,Fraisier,Fraisier
Meringue,Salade de Fruits, ,Meringue,Meringue,Meringue,Salade de Fruits
Madeleine,Crème dessert à la vanille, ,Madeleine,Madeleine,Crème dessert à la vanille,Madeleine
Milk-Shake,Yaourt sucré, ,Yaourt sucré,Yaourt sucré,Yaourt sucré,Yaourt sucré
Chou à la crème,Riz au lait, ,Riz au lait,Riz au lait,Riz au lait,Riz au lait
Tarte poires amandes,Raisin, ,Raisin,Raisin,Raisin,Raisin
Yaourt sucré,Riz au lait, ,Yaourt sucré,Riz au lait,Riz au lait,Yaourt sucré
Meringue,Madeleine, ,Meringue,Meringue,Meringue,Meringue
Sundae,Salade de Fruits, ,Sundae,Sundae,Sundae,Sundae
Tarte poires amandes,Fraisier, ,Tarte poires amandes,Tarte poires amandes,Tarte poires amandes,Tarte poires amandes
Madeleine,Riz au lait, ,Madeleine,Madeleine,Madeleine,Madeleine
Charlotte aux Fruits,Salade de Fruits, ,Salade de Fruits,Salade de Fruits,Salade de Fruits,Salade de Fruits
Madeleine,Charlotte aux Fruits, ,Charlotte aux Fruits,Madeleine,Charlotte aux Fruits,Charlotte aux Fruits
Salade de Fruits,Raisin, ,Salade de Fruits,Salade de Fruits,Salade de Fruits,Salade de Fruits
Raisin,Yaourt sucré, ,Yaourt sucré,Yaourt sucré,Raisin,Raisin
Riz au lait,Yaourt sucré, ,Riz au lait,Riz au lait,Riz au lait,Riz au lait
Yaourt à la grecque,Yaourt sucré, ,Yaourt sucré,Yaourt sucré,Yaourt sucré,Yaourt sucré
Tarte poires amandes,Yaourt à la grecque, ,Tarte poires amandes,Tarte poires amandes,Yaourt à la grecque,Tarte poires amandes
Chou à la crème,Yaourt sucré, ,Chou à la crème,Yaourt sucré,Yaourt sucré,Yaourt sucré
Raisin,Milk-Shake, ,Raisin,Milk-Shake,Raisin,Milk-Shake
Tarte poires amandes,Meringue, ,Tarte poires amandes,Tarte poires amandes,Meringue,Tarte poires amandes
Meringue,Yaourt sucré, ,Yaourt sucré,Yaourt sucré,Yaourt sucré,Meringue
Meringue,Fraisier, ,Fraisier,Fraisier,Fraisier,Fraisier
Fraisier,Raisin, ,Fraisier,Fraisier,Fraisier,Fraisier
Meringue,Crème dessert à la vanille, ,Meringue,Crème dessert à la vanille,Crème dessert à la vanille,Meringue
Tarte poires amandes,Riz au lait, ,Riz au lait,Riz au lait,Riz au lait,Tarte poires amandes
Crème dessert à la vanille,Salade de Fruits, ,Salade de Fruits,Salade de Fruits,Salade de Fruits,Crème dessert à la vanille
Tarte poires amandes,Chou à la crème, ,Chou à la crème,Chou à la crème,Tarte poires amandes,Chou à la crème
