Milk-Shake,1434
Cookie,1309
Tarte poires amandes,2665
Yaourt à la grecque,814
Crème dessert à la vanille,459
Crème dessert à la vanille,602
Meringue,678
Brownie,1685
Cookie,3378
Yaourt à la grecque,1845
Tarte poires amandes,1523
Meringue,1585
Tarte au citron meringuée,1953
Charlotte aux Fruits,54
Tarte poires amandes,731
Crème dessert à la vanille,835
Crème dessert à la vanille,1208
Tarte au citron meringuée,2107
Riz au lait,1666
Riz au lait,1134
Brownie,1498
Riz au lait,2672
Milk-Shake,1906
Meringue,1429
Riz au lait,1160
Brownie,1032
Raisin,1346
Brownie,820
Charlotte aux Fruits,386
Tarte poires amandes,2200
Cookie,1169
Brownie,504
Tarte poires amandes,2108
Tarte poires amandes,981
Charlotte aux Fruits,990
Crème dessert à la vanille,408
Crêpe à la confiture,444
Crème dessert à la vanille,3091
Crème dessert à la vanille,1114
Charlotte aux Fruits,1074
Crème dessert à la vanille,677
Milk-Shake,1509
Cookie,474
Tarte au citron meringuée,1277
Yaourt à la grecque,1615
Tarte poires amandes,1166
Crêpe à la confiture,977
Tarte au citron meringuée,205
Tarte au citron meringuée,429
Tarte poires amandes,1843
Cookie,421
Crème dessert à la vanille,2012
Tarte au citron meringuée,1450
Crêpe à la confiture,396
Tarte au citron meringuée,854
Cookie,1318
Cookie,802
Meringue,1449
Yaourt nature,1307
Tarte au citron meringuée,2713
Tarte au citron meringuée,725
Brownie,322
Crème dessert à la vanille,500
Brownie,1047
Meringue,585
Meringue,1335
Brownie,733
Tarte poires amandes,1885
Flan aux œufs,1120
Riz au lait,4055
Charlotte aux Fruits,6569
Cookie,1556
Brownie,725
Brownie,1482
Riz au lait,2125
Crème dessert à la vanille,348
Crêpe à la confiture,1257
Meringue,1153
Riz au lait,606
Tarte au citron meringuée,1055
Tarte au citron meringuée,1075
