Cookie,Orange, ,Orange,Orange,Orange,Orange
Cookie,Orange, ,Cookie,Cookie,Cookie,Cookie
Milk-Shake,Mangue, ,Mangue,Mangue,Mangue,Milk-Shake
Orange,Milk-Shake, ,Milk-Shake,Milk-Shake,Milk-Shake,Orange
Fraisier,Opéra, ,Opéra,Opéra,Opéra,Opéra
Meringue,Clémentine, ,Clémentine,Meringue,Clémentine,Meringue
Sundae,Cake aux Fruits, ,Cake aux Fruits,Sundae,Cake aux Fruits,Cake aux Fruits
Fraisier,Sorbet, ,Fraisier,Fraisier,Sorbet,Sorbet
Meringue,Clémentine, ,Meringue,Clémentine,Meringue,Clémentine
Sundae,Fraisier, ,Sundae,Fraisier,Fraisier,Sundae
Fraisier,Flan aux œufs, ,Flan aux œufs,Fraisier,Fraisier,Flan aux œufs
Cake aux Fruits,Clémentine, ,Clémentine,Clémentine,Clémentine,Cake aux Fruits
Fraisier,Mangue, ,Mangue,Fraisier,Mangue,Mangue
Cake aux Fruits,Crème dessert à la vanille, ,Crème dessert à la vanille,Cake aux Fruits,Cake aux Fruits,Cake aux Fruits
Crème dessert à la vanille,Milk-Shake, ,Milk-Shake,Milk-Shake,Milk-Shake,Milk-Shake
Meringue,Mangue, ,Mangue,Mangue,Meringue,Mangue
Crème dessert à la vanille,Orange, ,Orange,Crème dessert à la vanille,Orange,Crème dessert à la vanille
Cake aux Fruits,Mangue, ,Cake aux Fruits,Mangue,Cake aux Fruits,Mangue
Cake aux Fruits,Clémentine, ,Clémentine,Clémentine,Clémentine,Clémentine
Fraise,Crème dessert à la vanille, ,Fraise,Crème dessert à la vanille,Fraise,Fraise
Orange,Fraise, ,Fraise,Fraise,Fraise,Fraise
Crème dessert à la vanille,Flan aux œufs, ,Crème dessert à la vanille,Crème dessert à la vanille,Flan aux œufs,Flan aux œufs
Meringue,Crème dessert à la vanille, ,Meringue,Meringue,Meringue,Crème dessert à la vanille
Sundae,Orange, ,Sundae,Orange,Orange,Sundae
Meringue,Clémentine, ,Meringue,Clémentine,Meringue,Meringue
Opéra,Sorbet, ,Opéra,Opéra,Opéra,Opéra
Fraisier,Meringue, ,Meringue,Meringue,Meringue,Meringue
Meringue,Sorbet, ,Sorbet,Sorbet,Sorbet,Meringue
Mangue,Orange, ,Mangue,Mangue,Orange,Mangue
Mangue,Milk-Shake, ,Milk-Shake,Mangue,Milk-Shake,Milk-Shake
Cookie,Cake aux Fruits, ,Cake aux Fruits,Cake aux Fruits,Cake aux Fruits,Cake aux Fruits
Cookie,Crème dessert à la vanille, ,Crème dessert à la vanille,Cookie,Cookie,Cookie
Cookie,Sorbet, ,Sorbet,Cookie,Sorbet,Cookie
Milk-Shake,Orange, ,Milk-Shake,Milk-Shake,Milk-Shake,Milk-Shake
Fraisier,Flan aux œufs, ,Flan aux œufs,Flan aux œufs,Flan aux œufs,Flan aux œufs
Flan aux œufs,Milk-Shake, ,Milk-Shake,Flan aux œufs,Milk-Shake,Flan aux œufs
Sundae,Cookie, ,Sundae,Sundae,Cookie,Cookie
Flan aux œufs,Mangue, ,Flan aux œufs,Flan aux œufs,Flan aux œufs,Mangue
Cake aux Fruits,Mangue, ,Cake aux Fruits,Cake aux Fruits,Cake aux Fruits,Cake aux Fruits
Fraise,Flan aux œufs, ,Flan aux œufs,Flan aux œufs,Fraise,Fraise
Cake aux Fruits,Orange, ,Cake aux Fruits,Orange,Orange,Orange
Cookie,Opéra, ,Cookie,Cookie,Opéra,Cookie
Fraisier,Cake aux Fruits, ,Fraisier,Fraisier,Fraisier,Fraisier
Fraisier,Sundae, ,Fraisier,Fraisier,Sundae,Sundae
Clémentine,Mangue, ,Mangue,Mangue,Mangue,Mangue
Meringue,Milk-Shake, ,Milk-Shake,Milk-Shake,Milk-Shake,Milk-Shake
Sorbet,Mangue, ,Sorbet,Mangue,Mangue,Mangue
Opéra,Orange, ,Orange,Opéra,Orange,Opéra
Meringue,Clémentine, ,Clémentine,Clémentine,Clémentine,Clémentine
Flan aux œufs,Crème dessert à la vanille, ,Flan aux œufs,Flan aux œufs,Flan aux œufs,Flan aux œufs
Cookie,Sundae, ,Sundae,Cookie,Sundae,Sundae
Opéra,Flan aux œufs, ,Opéra,Opéra,Opéra,Opéra
Cookie,Crème dessert à la vanille, ,Cookie,Cookie,Cookie,Crème dessert à la vanille
Fraise,Clémentine, ,Clémentine,Fraise,Fraise,Clémentine
Opéra,Orange, ,Orange,Opéra,Orange,Orange
Cake aux Fruits,Sorbet, ,Cake aux Fruits,Cake aux Fruits,Cake aux Fruits,Sorbet
Meringue,Sundae, ,Sundae,Sundae,Meringue,Sundae
Sorbet,Clémentine, ,Clémentine,Clémentine,Sorbet,Sorbet
Cookie,Milk-Shake, ,Milk-Shake,Milk-Shake,Cookie,Cookie
Meringue,Clémentine, ,Clémentine,Meringue,Meringue,Meringue
Fraisier,Fraise, ,Fraise,Fraise,Fraise,Fraise
Meringue,Flan aux œufs, ,Meringue,Meringue,Meringue,Meringue
Meringue,Crème dessert à la vanille, ,Crème dessert à la vanille,Crème dessert à la vanille,Meringue,Crème dessert à la vanille
Sorbet,Sundae, ,Sundae,Sorbet,Sorbet,Sorbet
Sundae,Mangue, ,Sundae,Sundae,Sundae,Sundae
Sundae,Sorbet, ,Sundae,Sundae,Sundae,Sundae
Opéra,Flan aux œufs, ,Flan aux œufs,Flan aux œufs,Flan aux œufs,Flan aux œufs
Cake aux Fruits,Mangue, ,Cake aux Fruits,Cake aux Fruits,Cake aux Fruits,Cake aux Fruits
Fraisier,Cookie, ,Cookie,Cookie,Fraisier,Fraisier
Opéra,Cookie, ,Opéra,Opéra,Opéra,Opéra
Fraise,Orange, ,Fraise,Orange,Orange,Fraise
Meringue,Fraise, ,Fraise,Fraise,Fraise,Fraise
Fraise,Milk-Shake, ,Milk-Shake,Fraise,Fraise,Milk-Shake
Fraisier,Milk-Shake, ,Fraisier,Fraisier,Fraisier,Fraisier
Sorbet,Cookie, ,Cookie,Sorbet,Cookie,Sorbet
Sundae,Clémentine, ,Sundae,Sundae,Sundae,Sundae
Cake aux Fruits,Fraise, ,Cake aux Fruits,Cake aux Fruits,Fraise,Cake aux Fruits
Clémentine,Fraise, ,Clémentine,Clémentine,Clémentine,Fraise
