Banane,639
Sablé à la noix de coco,525
Litchi,1118
Sablé à la noix de coco,624
Fraisier,392
Litchi,358
Sablé à la noix de coco,544
Banane,744
Litchi,605
Ile flottante,928
Tarte aux Fruits,418
Tarte aux Fruits,725
Tarte aux Fruits,342
Pomme,403
Litchi,362
Litchi,492
Sablé à la noix de coco,411
Charlotte aux Fruits,1208
Ile flottante,657
Ile flottante,467
Fraisier,753
Tarte aux Fruits,567
Fraisier,438
Fraisier,469
Fraisier,699
Sablé à la noix de coco,598
Yaourt nature,508
Tarte aux Fruits,586
Banane,678
Banane,497
Litchi,325
Tarte aux Fruits,471
Charlotte aux Fruits,442
Tarte aux Fruits,401
Quatre-Quart,478
Quatre-Quart,497
Sablé à la noix de coco,996
Litchi,1245
Litchi,892
Charlotte aux Fruits,371
Litchi,1361
Pomme,452
Tarte aux Fruits,293
Ile flottante,707
Sablé à la noix de coco,625
Yaourt aux fruits,948
Litchi,613
Litchi,536
Yaourt aux fruits,415
Banane,578
Pomme,436
Sablé à la noix de coco,619
Banane,508
Tarte aux Fruits,603
Tarte aux Fruits,643
Glace,859
Banane,357
Banane,1140
Sablé à la noix de coco,416
Pomme,543
Quatre-Quart,510
Glace,2761
Charlotte aux Fruits,408
Pomme,447
Charlotte aux Fruits,855
Fraisier,371
Fraisier,439
Tarte aux Fruits,571
Fraisier,299
Charlotte aux Fruits,420
Yaourt nature,633
Fraisier,988
Tarte aux Fruits,419
Sablé à la noix de coco,471
Litchi,642
Tarte aux Fruits,574
Pomme,369
Pomme,410
Tarte aux Fruits,411
Yaourt nature,310
Quatre-Quart,668
