Quatre-Quart,912
Opéra,989
Kiwi,660
Milk-Shake,543
Milk-Shake,841
Cake aux Fruits,806
Milk-Shake,560
Crêpe à la confiture,478
Tarte poires amandes,447
Meringue,784
Milk-Shake,606
Yaourt sucré,477
Milk-Shake,425
Raisin,611
Meringue,1138
Quatre-Quart,394
Tarte poires amandes,402
Kiwi,398
Tarte poires amandes,422
Opéra,701
Tarte poires amandes,422
Orange,438
Meringue,394
Kiwi,327
Quatre-Quart,1494
Quatre-Quart,366
Tarte poires amandes,468
Quatre-Quart,1465
Flan aux œufs,397
Orange,361
Yaourt sucré,485
Kiwi,392
Raisin,446
Quatre-Quart,747
Milk-Shake,385
Orange,414
Quatre-Quart,324
Yaourt sucré,431
Kiwi,713
Yaourt sucré,325
Orange,385
Milk-Shake,814
Kiwi,405
Kiwi,421
Crêpe à la confiture,574
Yaourt sucré,489
Raisin,2451
Orange,755
Raisin,363
Meringue,449
Crêpe à la confiture,413
Cake aux Fruits,651
Orange,680
Opéra,639
Tarte poires amandes,603
Yaourt sucré,440
Kiwi,389
Orange,694
Meringue,12878
Meringue,505
Tarte poires amandes,45
Yaourt sucré,872
Tarte poires amandes,407
Tarte poires amandes,2039
Opéra,400
Flan aux œufs,312
Orange,1395
Orange,394
Crêpe à la confiture,635
Orange,803
Tarte poires amandes,545
Flan aux œufs,449
Meringue,1021
Raisin,506
Tarte poires amandes,434
Raisin,384
Crêpe à la confiture,825
Kiwi,387
Meringue,686
Crêpe à la confiture,496
Milk-Shake,428
