Cheesecake,1340
Ile flottante,780
Glace,787
Milk-Shake,1475
Tiramisu,6173
Cheesecake,1884
Smoothie,1020
Cheesecake,821
Tarte au chocolat,847
Cheesecake,1258
Chou à la crème,995
Cheesecake,745
Salade de Fruits,1150
Tarte au chocolat,1377
Chou à la crème,522
Chou à la crème,1067
Meringue,2025
Cheesecake,1939
Salade de Fruits,755
Milk-Shake,441
Cheesecake,948
Chou à la crème,1807
Smoothie,2368
Ile flottante,715
Banane,811
Salade de Fruits,929
Milk-Shake,1818
Milk-Shake,431
Cheesecake,445
Chou à la crème,1002
Smoothie,485
Chou à la crème,700
Cheesecake,710
Banane,1045
Banane,857
Salade de Fruits,509
Banane,682
Tiramisu,513
Tarte au chocolat,495
Ile flottante,626
Tiramisu,1277
Cheesecake,1108
Milk-Shake,574
Chou à la crème,641
Tarte au chocolat,417
Chou à la crème,451
Smoothie,679
Glace,776
Quatre-Quart,374
Salade de Fruits,621
Tarte au chocolat,418
Smoothie,803
Tiramisu,1339
Ile flottante,671
Milk-Shake,525
Salade de Fruits,752
Milk-Shake,1097
Banane,2511
Ile flottante,527
Milk-Shake,495
Ile flottante,550
Salade de Fruits,464
Tarte au chocolat,964
Chou à la crème,522
Smoothie,1576
Salade de Fruits,942
Milk-Shake,557
Salade de Fruits,561
Salade de Fruits,560
Tarte au chocolat,810
Ile flottante,1022
Milk-Shake,615
Ile flottante,719
Ile flottante,1876
Salade de Fruits,553
Chou à la crème,1048
Ile flottante,674
Tiramisu,667
Ile flottante,754
Salade de Fruits,1316
Quatre-Quart,599
