Cheesecake,Chou à la crème, ,Cheesecake,Cheesecake,Chou à la crème,Cheesecake
Ile flottante,Smoothie, ,Smoothie,Smoothie,Smoothie,Smoothie
Quatre-Quart,Glace, ,Glace,Glace,Quatre-Quart,Glace
Milk-Shake,Yaourt nature, ,Yaourt nature,Yaourt nature,Yaourt nature,Yaourt nature
Tiramisu,Banane, ,Banane,Banane,Banane,Banane
Tiramisu,Cheesecake, ,Tiramisu,Tiramisu,Tiramisu,Tiramisu
Quatre-Quart,Smoothie, ,Smoothie,Smoothie,Quatre-Quart,Quatre-Quart
Cheesecake,Quatre-Quart, ,Cheesecake,Cheesecake,Cheesecake,Cheesecake
Meringue,Tarte au chocolat, ,Tarte au chocolat,Tarte au chocolat,Meringue,Meringue
Cheesecake,Yaourt nature, ,Yaourt nature,Yaourt nature,Yaourt nature,Yaourt nature
Chou à la crème,Yaourt nature, ,Chou à la crème,Chou à la crème,Chou à la crème,Chou à la crème
Glace,Cheesecake, ,Cheesecake,Glace,Cheesecake,Glace
Banane,Salade de Fruits, ,Banane,Salade de Fruits,Banane,Salade de Fruits
Tarte au chocolat,Smoothie, ,Tarte au chocolat,Tarte au chocolat,Tarte au chocolat,Tarte au chocolat
Chou à la crème,Yaourt à la grecque, ,Yaourt à la grecque,Chou à la crème,Chou à la crème,Chou à la crème
Chou à la crème,Yaourt nature, ,Yaourt nature,Yaourt nature,Yaourt nature,Chou à la crème
Meringue,Yaourt à la grecque, ,Meringue,Meringue,Yaourt à la grecque,Meringue
Cheesecake,Yaourt à la grecque, ,Yaourt à la grecque,Cheesecake,Yaourt à la grecque,Cheesecake
Yaourt à la grecque,Salade de Fruits, ,Yaourt à la grecque,Salade de Fruits,Yaourt à la grecque,Salade de Fruits
Tiramisu,Milk-Shake, ,Milk-Shake,Milk-Shake,Milk-Shake,Milk-Shake
Cheesecake,Banane, ,Cheesecake,Banane,Banane,Banane
Chou à la crème,Yaourt nature, ,Chou à la crème,Yaourt nature,Chou à la crème,Chou à la crème
Smoothie,Milk-Shake, ,Milk-Shake,Smoothie,Smoothie,Smoothie
Meringue,Ile flottante, ,Ile flottante,Meringue,Ile flottante,Meringue
Banane,Yaourt à la grecque, ,Banane,Yaourt à la grecque,Yaourt à la grecque,Banane
Quatre-Quart,Salade de Fruits, ,Salade de Fruits,Quatre-Quart,Salade de Fruits,Quatre-Quart
Chou à la crème,Milk-Shake, ,Chou à la crème,Chou à la crème,Chou à la crème,Chou à la crème
Milk-Shake,Yaourt à la grecque, ,Yaourt à la grecque,Yaourt à la grecque,Milk-Shake,Yaourt à la grecque
Chou à la crème,Cheesecake, ,Cheesecake,Chou à la crème,Cheesecake,Chou à la crème
Chou à la crème,Tiramisu, ,Chou à la crème,Tiramisu,Tiramisu,Tiramisu
